Original,Translate_EN,Translate_IT_1
"Molte volte mi disse quel ribaldo,","“Many times that scoundrel said to me,",Molte volte quel mascalzone mi ha detto:
"Per chu’ i’ ebi tanta pena e male,","the one for whom I had so much pain and ill,","colui per il quale ho avuto tanto dolore e tanto male,"
Ched e’ verebe ancor tal   tenporale,that such a time would arrive,che un tale tempo sarebbe arrivato
Ched i’ avrei spesso fredo e caldo.,when I would feel both cold and heat.,quando sentivo freddo e caldo.
"Ben disse ver, quel conto ò i’ ben saldo;",He certainly told the truth; that debt I’ve truly paid;,Egli certamente ha detto la verità; che il debito ho pagato veramente;
"Ma, per l’agio, ch’i’ ebi tanto e tale","but, so much and so intense was the pleasure I enjoyed,","ma, tanto e così intenso è stato il piacere che mi è piaciuto,"
Che tutto quanto il cuor mi ne trasale,that my heart leaps up in me,che il mio cuore balza in me
"Quand’i’ rimenbro, si ritorna baldo.","when I remember, and then becomes happy once again.","quando mi ricordo, e poi divento di nuovo felice."
"Giovane donna nonn-è mai oziosa,","A young woman is never idle,","Una giovane donna non è mai oziosa,"
"Sed ella ben al fatto si ripensa,",if she considers carefully the matter,se esamina attentamente la questione
Per ch’ella sti’ a menar vita gioiosa.,"of how she may lead a joyful life,","di come può condurre una vita gioiosa,"
"Ma’ ch’ella pensi a chieder sua dispensa,","except that she should think to fill her larder,","se non che lei dovrebbe pensare di riempire la dispensa,"
"Sì ch’ella non si truovi sofrattosa,","so that she may never find herself in need,","perché non si trovi mai nel bisogno,"
Quando Vechieza vien poi che•ll’adesa.,when old age comes and attacks her.”,quando arriva la vecchiaia e la attacca.
