Original,Translate_IT_1
"Provato che lo comento latino non sarebbe stato servo conoscente, dirò come non sarebbe stato obediente.","Ora che ho mostrato come l'attuale commento non sarebbe stato oggetto del canzoni vernacolare se fosse stato in latino, devo continuare a mostrare come non li avrebbe conosciuti da vicino, né ubbidiente a loro. Ciò fatto, saremo in grado di trarre la conclusione che il vernacolare deve essere utilizzato per evitare inversioni dell'ordine corretto."
"Obediente è quelli che ha la buona disposizione che si chiama obedienza. La vera obedienza conviene avere tre cose sanza le quali essere non può: vuole essere dolce, e non amara; e comandata interamente, e non spontanea; e con misura, e non dismisurata.",Sostengo che il latino non sarebbe stato un servo con la conoscenza stretta del suo padrone volgare per la seguente ragione. Per un servo di avere la conoscenza stretta del suo padrone il requisito di base è la conoscenza perfetta di due cose.
"Le quali tre cose era impossibile ad avere lo latino comento, e però era impossibile ad essere obediente. Che allo latino fosse stato impossibile, come detto è, si manifesta per cotale ragione.","Il primo è la natura del suo padrone, perché ci sono alcuni padroni di una natura così asinina che comandano l'opposto di quello che vogliono fare, mentre altri vogliono che ciò che hanno in mente sia compreso senza pronunciare una parola, e altri ancora non vogliono che il loro servo alzi un dito per fare ciò che è necessario senza prima essere dato il comando."
"Ciascuna cosa che da perverso ordine procede è laboriosa, e per consequente è amara, e non dolce, sì come dormire lo die e vegghiare la notte, e andare indietro e non inanzi. Comandare lo subietto allo sovrano procede da ordine perverso - ché ordine diritto è lo sovrano allo subietto comandare -, e così è amaro, e non dolce. E però che all'amaro comandamento è impossibile dolcemente obedire, impossibile è, quando lo subietto comanda, l'obedienza del sovrano essere dolce.","Ciò che provoca tali variazioni nella natura umana è qualcosa che non intendo spiegare qui, in quanto ciò allungherebbe indebitamente la digressione; mi accontenterò con l'osservazione generale che tali persone sono poco meglio delle bestie, disegnando poco profitto dalla ragione. È chiaro, quindi, che se un servo manca di conoscenza della sua natura maestra non può offrirgli un servizio perfetto."
"Dunque, se lo latino è sovrano del volgare, come di sopra per più ragioni è mostrato, e le canzoni, che sono in persona di comandatore, sono volgari, impossibile è sua obedienza essere dolce.","In secondo luogo, un servo deve avere una conoscenza stretta degli amici del suo padrone, perché altrimenti non può onorarli né servirli, né, di conseguenza, può servire perfettamente il suo padrone, perché gli amici sono come parti che formano un tutto, perché formano un tutto nell'essere uno in quello che vogliono e non vogliono."
"Ancora: allora è l'obedienza interamente comandata e da nulla parte spontanea, quando quello [che fa] chi fa obediendo non averebbe fatto sanza comandamento, per suo volere, né tutto né in parte.","Né un commento scritto in latino avrebbe avuto la stretta conoscenza di queste cose possedute da uno scritto, come il suo soggetto, in vernacolare. Il seguente dimostra chiaramente che il latino manca di conoscenza stretta del vernacolare e dei suoi amici. Chiunque abbia una conoscenza generale di qualcosa non sa quella cosa perfettamente; per esempio, una persona che sa da lontano che qualcosa è un animale, non sa perfettamente quella cosa, perché non può dire se è un cane, un lupo o una capra."
"E però, se a me fosse comandato di portare due guarnacche in dosso, e sanza comandamento io mi portasse l'una, dico che la mia obedienza non è interamente comandata ma in parte spontanea. E cotale sarebbe stata quella del comento latino; e per consequente non sarebbe stata obedienza comandata interamente.","Il latino ha una conoscenza generale e non distinta del vernacolare, perché se avesse una conoscenza distinta di esso, conoscerebbe tutte le forme del vernacolare, poiché non ci sono motivi per la sua conoscenza di una forma migliore di un altro; e così chiunque a tutti coloro che aveva completamente imparato il latino avrebbe una conoscenza distinta del vernacolare."
"Che fosse stata cotale, appare per questo: che lo latino sanza lo comandamento di questo signore averebbe esposite molte parti della sua sentenza - ed espone, chi cerca bene le scritture latinamente scritte -: che non lo fa lo volgare in parte alcuna.","Ma questo non è il caso, per qualcuno dall'Italia che ha padronanza del latino non può distinguere il vernacolare dell'Inghilterra da quello della Germania; né qualcuno dalla Germania può distinguere il vernacolare dell'Italia da quello della Provenza. È chiaro, quindi, che il latino manca di conoscenza del vernacolare."
"Ancora: è l'obedienza con misura, e non dismisurata, quando al termine del comandamento va, e non più oltre: sì come la natura particulare è obediente alla universale, quando fa trentadue denti all'uomo, e non più né meno; e quando fa cinque dita nella mano, e non più né meno; e l'uomo è obediente alla giustizia [quando fa quello, e non più né meno, che la giustizia] comanda, al peccatore.","Inoltre, il latino manca di conoscenza stretta degli amici del vernacolare, poiché è impossibile conoscere da vicino gli amici di una persona senza prima conoscere da vicino quella persona stessa. Concesso ciò che è stato dimostrato sopra, allora, che il latino non ha conoscenza stretta del vernacolare, è impossibile per esso avere conoscenza stretta degli amici del vernacolare."
"Né questo averebbe fatto lo latino, ma peccato averebbe non pur nel difetto e non pur nel soperchio, ma in ciascuno; e così non sarebbe la sua obedienza stata misurata, ma dismisurata, e per consequente non sarebbe stato obediente.","Inoltre, è impossibile conoscere da vicino le persone senza una certa conoscenza personale o familiarità con loro; e il latino non è personalmente a conoscenza di tante persone che compongono un dato gruppo linguistico come è il vernacolare parlato da loro, di cui sono tutti amici. Di conseguenza, il latino non può avere una conoscenza approfondita degli amici del vernacolare."
