Original,Translate_IT
Già era dritta in sù la fiamma e queta,"La fiamma era già eretta e silenziosa,"
"per non dir più, e già da noi sen gia","Per non parlare più, e ora si è allontanato da noi"
"con la licenza del dolce poeta,",Con il permesso del gentile Poeta;
"quand'un'altra, che dietro a lei venìa,","Quando un altro, che dietro di esso è venuto,"
ne fece volger li occhi a la sua cima,Ci ha fatto girare gli occhi sulla sua cima
per un confuso suon che fuor n'uscia.,Da un suono confuso che ne usciva.
Come 'l bue cicilian che mugghiò prima,Come il toro siciliano (che soffiò per primo
"col pianto di colui, e ciò fu dritto,","Con il lamento di lui, ed era giusto,"
"che l'avea temperato con sua lima,",Chi con il suo file lo aveva modulato)
"mugghiava con la voce de l'afflitto,","Costeggiato così con la voce degli afflitti,"
"sì che, con tutto che fosse di rame,","Che, nonostante fosse fatto di ottone,"
pur el pareva dal dolor trafitto;,Ancora è apparso con agonia trasfissa;
"così, per non aver via né forame","Quindi, non avendo alcun modo o problema"
"dal principio nel foco, in suo linguaggio","All'inizio dal fuoco, alla propria lingua"
si convertïan le parole grame.,Convertite sono state le parole malinconiche.
Ma poscia ch'ebber colto lor vïaggio,"Ma dopo, quando si erano radunati"
"su per la punta, dandole quel guizzo","Attraverso il punto, dandogli quella vibrazione"
"che dato avea la lingua in lor passaggio,","La lingua aveva dato loro nel loro passaggio fuori,"
udimmo dire: “O tu a cu' io drizzo,"Lo abbiamo sentito dire: ""O tu, a cui io miro"
"la voce e che parlavi mo lombardo,","La mia voce, e chi ma ora non parlava lombardo,"
"dicendo ""Istra ten va, più non t'adizzo"",","Dicendo: ""Ora vattene, non ti esorto più."""
"perch'io sia giunto forse alquanto tardo,",Perche' sono un po' in ritardo.
non t'incresca restare a parlar meco;,Per restare e parlare con me lascia che non ti irk;
"vedi che non incresce a me, e ardo!","Tu lo vedi che non mi infastidisce, e io sto bruciando."
Se tu pur mo in questo mondo cieco,Se tu ma ultimamente in questo mondo cieco
caduto se' di quella dolce terra,"È caduto da quella dolce terra latiana,"
"latina ond'io mia colpa tutta reco,","da cui traggo tutta la mia trasgressione,"
dimmi se Romagnuoli han pace o guerra;,"Se i Romagnoli hanno pace o guerra,"
ch'io fui d'i monti là intra Orbino,Perche' io sono stato dalle montagne laggiu'... tra...
e 'l giogo di che Tever si diserra”.,"Urbino e il giogo da cui scoppia il Tevere."""
"Io era in giuso ancora attento e chino,","Ero ancora piegato verso il basso e ascoltavo,"
"quando il mio duca mi tentò di costa,","Quando il mio direttore mi toccò di lato,"
dicendo: “Parla tu; questi è latino”.,"Dicendo: ""Parla: questo è un Laziano."""
"E io, ch'avea già pronta la risposta,","E io, che avevo in precedenza la mia risposta"
sanza indugio a parlare incominciai:,"Nella prontezza, immediatamente cominciò a parlare:"
"“O anima che se' là giù nascosta,","""O anima, che laggiù è nascosta,"
"Romagna tua non è, e non fu mai,",Romagna tua non è e non è mai stata
sanza guerra ne' cuor de' suoi tiranni;,Senza guerra nel seno dei suoi tiranni;
ma 'n palese nessuna or vi lasciai.,Ma la guerra aperta non mi e' rimasta piu'.
Ravenna sta come stata è molt'anni:,Ravenna sta così da lungo tempo;
"l'aguglia da Polenta la si cova,","L'aquila di Polenta sta covando,"
sì che Cervia ricuopre co' suoi vanni.,Cosi' da coprire Cervia con i suoi furgoni.
La terra che fé già la lunga prova,"La città che una volta fece la lunga resistenza,"
"e di Franceschi sanguinoso mucchio,","E dei Francesi un mucchio di sangue,"
sotto le branche verdi si ritrova.,Sotto le zampe verdi si ritrova;
"E 'l mastin vecchio e 'l nuovo da Verrucchio,","L'antico Mastiff di Verrucchio e il nuovo,"
"che fecer di Montagna il mal governo,","Colui Che ha fatto un tale cattivo smaltimento di Montagna,"
là dove soglion fan d'i denti succhio.,Dove sono non si fanno muffa dei loro denti.
Le città di Lamone e di Santerno,Le città di Lamone e Santerno
"conduce il lïoncel dal nido bianco,","Governa il Lioncel del covo bianco,"
