Original,Translate_EN,Translate_IT_1
Io dico che ’n sì grande dannazione,"“In truth I say that, for great poverty","In verità dico che, per grande povertà"
"Va l’anima per grande povertade,","just as for great wealth, a soul","come per grande ricchezza, un'anima"
"Come per gran ricceza, in veritade;",goes to a state of great damnation;,va in uno stato di grande dannazione;
"E ciaschedun dé aver questa ’nte[n]zione,","and everyone should hold this opinion,","e tutti dovrebbero tenere questo parere,"
Ché ’n un su’ dicie Salamone:,for Solomon says in one of his books:,perché Salomone dice in uno dei suoi libri:
"“Guardami, Idio, per la Tua gran pietade","‘Protect me, o God, through your great mercy,","Proteggimi, o Dio, per la tua grande misericordia,"
"Di gran richeza, e di mendichitade;","from great wealth and from penury,","da grandi ricchezze e da penitenza,"
"E dàmi del Tu’ ben sol per ragione,",and give me your grace only according to reason.,e dammi la tua grazia solo secondo la ragione.
"Ché que’, c’à gran richeza, si oblia","For the one who has great wealth forgets,","Per chi ha grandi ricchezze dimentica,"
"Que’, che ’l criò, per lo su’ gran riccore,","because of his great riches, the one who created him,","a causa delle sue grandi ricchezze, colui che l'ha creato,"
Di che l’anima mette in mala via.,and thus he directs his soul down an evil path.,e così dirige la sua anima lungo un sentiero malvagio.
"Colui, cui Povertà tien in dolore,","The one whom poverty keeps in sorrow,","Colui che la povertà conserva nel dolore,"
"Convien che•ssia ladrone,   o muor d’envia,","must be a thief or an envious person,","deve essere un ladro o una persona invidiosa,"
"O serà falsonier, o mentitore”.",or he’ll be a crook or a liar’.”,o che sia un truffatore o un bugiardo.
