Original,Translate_EN,Translate_IT_1
E quand’io vego igniudi que’ truanti,"“And when I see those naked beggars,","E quando vedo quei mendicanti nudi,"
"Su’ monti del litame star tremando,","trembling on mountains of manure,","tremori sulle montagne di letame,"
"Che fredo e fame gli fa sì acorando,",and suffering so much from the cold and hunger,e soffrire tanto dal freddo e dalla fame
"Ch’e’ non posson pregiar né Die, né santi,","that they cannot pray either to God or the Saints,","che non possono pregare né Dio né i Santi,"
"E ’l più, ch’i’ posso, lor fugo davanti","as fast as I can, I flee from their sight,","il più in fretta possibile, fuggo dalla loro vista,"
Sanza girne nessun riconfortando.,without comforting any of them;,senza confortare nessuno di loro;
"Anzi lor dico: “Al Diavol v’acomando,","rather, I say to them: ‘I commend you to the devil, you","piuttosto, dico loro: vi raccomando al diavolo, voi"
"Con tutti que’, che non àn de’ bisanti”.",and all those who have no.’,e tutti coloro che hanno no.
Ché•lla lor conpressione è freda e secca,"Because their physical makeup is cold and dry,","Perche' il loro trucco fisico e' freddo e asciutto,"
"Sì ch’i’ non so, ch’i’ di lor trar potesse.",I don’t know what I could squeeze out of them:,Non so che cosa potrei spremere fuori da loro:
"Or che dir a colui, che ’l coltel lecca?",what can that one give who licks the knife?,Cosa puo' dare a chi lecca il coltello?
"Di gran follia, credo, m’intramettesse",I think it would be crazy for me,Penso che sarebbe pazzesco per me.
"Voler insegniar vender frutta a trecha,","to teach a fruit vendor how to sell fruit,","per insegnare a un venditore di frutta come vendere frutta,"
O ch’i’ a•letto del cane unto chiedesse.,or for me to look for fat in a dog’s house.”,o per me a cercare il grasso in una casa di cani.
