Original,Translate_EN,Translate_IT_1
"Ver è ch’e’ ci à persone ispeziali,",“It’s true that there are certain people,E 'vero che ci sono alcune persone
"Che van cherendo lor vita per Dio,","who go begging for food in the name of God,","che vanno a mendicare cibo nel nome di Dio,"
Per ch’i’   vi dico ben c’al parer mio,"for which I say to you that, in my opinion,","per cui vi dico che, a mio parere,"
Egli è mercié far   bene a que’ cotali.,to do good for these people is a meritorious act.,Fare del bene a queste persone è un atto meritorio.
"Di questi sono alquanti bestiali,",Of these some are quite ignorant,Di questi alcuni sono abbastanza ignoranti
"Che non ànno iscienza in lavorio,","and have no concept of work,","e non hanno alcun concetto di lavoro,"
"Ed altri v’à, che l’ànno, ma è rio","and there are others who do have it, but times","e ci sono altri che ce l'hanno, ma tempi"
"Il tenpo, e lor guadagni sì son frali.","are bad, and their earnings are very small.","sono cattivi, e i loro guadagni sono molto piccoli."
"À ’ncor di gientil giente discacciata,","Some are exiled noblemen,","Alcuni sono nobili in esilio,"
"Che non son costumati a lavorare,","who are unaccustomed to working,","che non sono abituati a lavorare,"
Ma son viuti sol di lor entrata.,living solely from their revenues.,vivere solo con le loro entrate.
"A cota’   gienti dé ciascun donare,","Everyone must contribute to people such as these,","Ognuno deve contribuire a persone come queste,"
Ché lor limosina è bene inpiegata:,"for the alms they give are well employed,","perché le elemosine che danno sono ben impiegate,"
Si è mercié atarli   governare.,it is merciful to help them get by.”,è misericordioso per aiutarli a passare.
