Original,Translate_EN,Translate_IT_1
Se del giuoco d’amor i’ fosse essuta,“If I had been a true expert,Se fossi stato un vero esperto
"Ben sagia, quand’i’ era giovanella,","in the game of love when I was young,","nel gioco dell'amore quando ero giovane,"
"I’ sare’ richa più che damigiella,",I would be richer than any young noble woman,Sarei più ricco di qualsiasi nobile donna.
"O donna, che•ttu agie ogi veduta:","or lady, whom you can see today.","o signora, che potete vedere oggi."
Ch’i’ fu’ sì trapiaciente in mia venuta,I was so greatly pleasing in my youth,Ero cosi' felice nella mia giovinezza.
Che per tutto corea la novella,that the news spread everywhere,che la notizia si diffondeva ovunque
"Com’i’ era cortese, e giente, e bella.",of how gracious and noble and beautiful I was;,"di quanto ero gentile, nobile e bello;"
"Ma•cciò mi pesa, ch’i’ non fu’ saputa.",but what troubles me is that I was not wise.,ma ciò che mi preoccupa è che non sono stato saggio.
"Or s’i’ mi doglio, quand’i’ mi rimiro","So now I grieve, when I look at myself","Così ora mi addoloro, quando mi guardo"
"Dentro a lo spechio, ed i’ vego invechiarmi,",in the mirror and see myself grown old:,nello specchio e vedermi invecchiato:
Molto nel mi’ cuore me n’adiro.,I get very angry in my heart.,Mi arrabbio molto nel cuore.
"Ver è ched i’ di ciò non posso atarmi,","To be sure, I cannot help myself in this,","Per essere sicuri, non posso farne a meno."
"Sì che per molte volte ne sospiro,","and so I frequently sigh,","e così sospiro spesso,"
Quand’i’ vegio biltate abandonarmi.,when I see my beauty abandoning me.”,quando vedo la mia bellezza abbandonarmi.
