Original,Translate_EN,Translate_IT_1
Alor sì fecier fine al parlamento.,At that point they ended their conversation.,A quel punto terminarono la loro conversazione.
"La Vechia se ne venne al mi’ ostello,",The Old Woman came to my house,La Vecchia Donna è venuta a casa mia.
"E disse:   «Avrò io sorcotto e mantello,","and said: “Will I have coat and mantle,","e disse: ""Io avrò mantello e mantello,"
"Sed i’ t’aporto alcun buon argomento,",if I bring you some good remedy,se ti porto qualche buon rimedio
Che ti trarrà di questo tuo tormento?».,that will take away your sorrow?”,che ti toglierà il dolore?
"I’ dissi: «Sì, d’un verde fino e bello;","“Yes,” I said, “and they will be in a noble and beautiful green;","Sì, ho detto, e saranno in un verde nobile e bello;"
"Ma, sì sacciate, non fia san’ pennello","but, you should know, they’ll have a gray","ma, si dovrebbe sapere, hanno un grigio"
"Di grigio, con ogni’altro guernimento».",lining and every other sort of ornament.”,fodera e ogni altro tipo di ornamento.
"D’Amico mi sovenne, che mi disse",I remembered that Friend told me,Mi sono ricordato che l'Amico mi ha detto
"Ched i’ faciesse larga promessione,","that I should make a generous promise,","che dovrei fare una promessa generosa,"
"Ma ’l più, ch’i’ posso, il pagar soferisse:",but that I should delay payment as long as I can;,ma che dovrei ritardare il pagamento il più a lungo possibile;
Avegnia ch’i’ avea ferma ’ntenzione,"although I had good intentions to compensate her well,","Anche se avevo buone intenzioni di compensarla bene,"
"De dar ben a coste’, s’ella m’aprisse,",if for me she would unlock the door,se per me aprisse la porta
Che quell’uscisse   fuor della pregione.,to release that lady from confinement.,per liberare quella donna dalla reclusione.
