Original,Translate_EN,Translate_IT_1
"E quando sol’ a sol con lui sarai,","“And when you’ll be alone with him,","E quando sarai sola con lui,"
"Sì fa che•ttu gli facci saramenti,",make sure you swear to him,Assicurati di giurare su di lui
"Che•ttu per suo’ danar non ti consenti,","that you’re not giving yourself to him because of his money,","che non ti dai a lui a causa dei suoi soldi,"
"Ma sol per grande amor, che•ttu in lui ài.",but only for the great love you have for him.,ma solo per il grande amore che hai per lui.
"S’e’ fosser mille, a ciascun lo dirai,","And if there were thousands, to each one you’ll say it,","E se ci fossero migliaia, a ciascuno di voi lo dirà,"
"E’ sì ’l te crederanno, que’ dolenti;","and they’ll believe you for sure, those wretched ones;","e vi crederanno di sicuro, i miserabili."
"E saccie far   sì che ciascuno adenti,","and do it in such a way that you put the bite on all of them,","e lo fai in modo che tu metta il morso su tutti loro,"
Insin c’a povertà gli metterai.,until you have reduced them to poverty.,finché non li avrete ridotti alla povertà.
"Che•ttu•ssè tutta loro, dé’ giurare;",You must swear that you’re all theirs;,Devi giurare che sei tutta loro;
"Se•tti spergiuri, nonn vi metter piato,","if you commit perjury, don’t worry about it,","se commetti falsa testimonianza, non preoccuparti,"
Ché Dio non se ne fa se non ghignare:,for God won’t do anything but laugh.,perché Dio non farà altro che ridere.
"Ché, sie ciertana, ch’e’ non è peccato,",You may be sure that it’s no sin,Potete essere sicuri che esso non commette alcun peccato
Chi si spergiura per voler pelare,to commit perjury in order to skin,commettere spergiuro per la pelle
"Colui, che fie di te così ingannato.",that one who’ll be deceived by you.”,colui che sarà ingannato da voi.
