Original,Translate_EN,Translate_IT_1
"«Per Dio, gientil madonna, e per merzede»,","“For God’s sake, gentle lady, and in mercy’s name,”","Per il bene di Dio, gentile signora, e in nome di misericordia,"
"Le dissi allor, «s’i’ ò ver’ voi fallato,","I said to her then, “if I have wronged you,","Le ho detto allora, se ti ho fatto del male,"
Ched e’ vi piaccia ched e’ sia amendato,"please grant that I may make amends,","La prego di concedere che io possa fare ammenda,"
"Per me, chéd i’ ’l farò a buona fede:",for this I’ll do in good faith.,per questo io lo farò in buona fede.
"Ch’i’ son ciertan, che ’l vostro cuor non crede",For I am sure your heart does not know,Perché sono sicuro che il tuo cuore non sa
"Com’io dentro dal mio ne son crucciato,",how my own heart is afflicted;,come il mio cuore è afflitto;
"Ma quando vo’ m’avrete ben provato,","but when you’ve put me to the test,","ma quando mi metterai alla prova,"
"E’ sarà cierto di ciò, c’or non vede.",your heart will be sure of that which now it does not see.,il tuo cuore sarà sicuro di ciò che ora non vede.
"Per ch’i’ vi priego, che mi diate il passo,","For this reason I beg you to let me pass,","Per questo ti prego di lasciarmi passare,"
Ched i’ potesse abatter il castello,so that I can bring down the castle,Cosi' potro' abbattere il castello.
"Di Gielosia, che m’à sì messo al basso».","of Jealousy, who has laid me low.”","di gelosia, che mi ha deposto."
Quella mi disse: «Tu•ssè mio ribello:,She said to me: “You are my enemy;,"Mi disse: ""Tu sei mio nemico;"
"Per altra via andrai, ché sarà’ lasso","along another path you will go, for you will be exhausted","lungo un altro sentiero tu andrai, perché sarai esausto"
Inanzi che n’abatti un sol crinello».,before you knock down a single crenellation on the tower.”,prima di abbattere una sola cremazione sulla torre.
