Original,Translate_IT
Nel mezzo del cammin di nostra vita,"Quando ho viaggiato per meta' della nostra vita,"
"mi ritrovai per una selva oscura,","Mi sono ritrovato in una foresta ombreggiata,"
ché la diritta via era smarrita.,perché avevo perso il sentiero che non si allontana.
Ahi quanto a dir qual era è cosa dura,"Ah, è difficile parlare di quello che era,"
esta selva selvaggia e aspra e forte,"quella foresta selvaggia, densa e difficile,"
che nel pensier rinova la paura!,che anche nel ricordo rinnova il mio timore:
Tant'è amara che poco è più morte;,Quindi la morte amara non e' piu' grave!
"ma per trattar del ben ch'i' vi trovai,","Ma per ripetere il bene scoperto,"
dirò de l'altre cose ch'i' v'ho scorte.,Dirò anche le altre cose che ho visto.
"Io non so ben ridir com'i' v'intrai,",Non posso dire chiaramente come sono entrato
tant'era pien di sonno a quel punto,il legno; ero così pieno di sonno solo a
che la verace via abbandonai.,il punto in cui ho abbandonato il vero sentiero.
"Ma poi ch'i' fui al piè d'un colle giunto,",Ma quando ho raggiunto il fondo di una collina...
là dove terminava quella valle,è salito lungo il confine della valle
"che m'avea di paura il cor compunto,",che aveva tormentato il mio cuore con tanta paura...
guardai in alto e vidi le sue spalle,Ho guardato in alto e ho visto le sue spalle vestite
vestite già de' raggi del pianeta,già dai raggi dello stesso pianeta
che mena dritto altrui per ogne calle.,che serve a condurre gli uomini dritti lungo tutte le strade.
"Allor fu la paura un poco queta,","In questo la mia paura era un po 'tranquilla,"
che nel lago del cor m'era durata,"perché nella notte del dolore avevo speso,"
la notte ch'i' passai con tanta pieta.,il lago nel mio cuore sentiva il terrore presente.
"E come quei che con lena affannata,","E proprio come colui che, con il respiro esausto,"
"uscito fuor del pelago a la riva,","fuggito da mare a riva, torna indietro"
"si volge a l'acqua perigliosa e guata,","per osservare le acque pericolose che ha abbandonato,"
"così l'animo mio, ch'ancor fuggiva,","Cosi' come il mio spirito, ancora un fuggitivo,"
si volse a retro a rimirar lo passo,voltarsi indietro per guardare intensamente al passo
che non lasciò già mai persona viva.,che non ha mai lasciato che un uomo sopravvivesse.
"Poi ch'èi posato un poco il corpo lasso,",Ho lasciato riposare il mio corpo stanco per un po'.
"ripresi via per la piaggia diserta,","Spostandomi di nuovo, ho provato la pendenza solitaria..."
sì che 'l piè fermo sempre era 'l più basso.,Il mio piede fermo e' sempre stato quello sotto.
"Ed ecco, quasi al cominciar de l'erta,",E quasi dove la collina comincia a salire...
"una lonza leggera e presta molto,","Guarda lì! - un leopardo, molto veloce e muto,"
che di pel macolato era coverta;,un leopardo coperto da un nascondiglio macchiato.
"e non mi si partia dinanzi al volto,","Egli non scomparve dalla vista, ma rimase;"
"anzi 'mpediva tanto il mio cammino,","Invero, mi ha impedito di salire."
ch'i' fui per ritornar più volte vòlto.,che spesso dovevo tornare indietro.
"Temp'era dal principio del mattino,",Il tempo era l'inizio della mattinata;
e 'l sol montava 'n sù con quelle stelle,il sole stava sorgendo ora in comunione
ch'eran con lui quando l'amor divino,con le stesse stelle che l'avevano scortata
mosse di prima quelle cose belle;,quando l'Amore Divino ha mosso quelle cose di bellezza per la prima volta;
sì ch'a bene sperar m'era cagione,così che l'ora e la dolce stagione
di quella fiera a la gaetta pelle,mi ha dato una buona causa di speranza nel vedere
l'ora del tempo e la dolce stagione;,quella bestia davanti a me con la sua pelle macchiata;
ma non sì che paura non mi desse,ma la speranza era difficilmente in grado di prevenire
la vista che m'apparve d'un leone.,la paura che provai quando vidi un leone.
Questi parea che contra me venisse,La sua testa teneva alta e nervosa con la fame...
