Original,Translate_EN,Translate_IT_1
"Come costor m’andavar tormentando,",The army of the God of Love became aware,L'esercito del Dio dell'Amore divenne consapevole
"E l’oste al Die d’Amor si fu sentita,","of how these three were tormenting me,","di come questi tre mi tormentavano,"
E’ sì cogniobor ch’i’ avea infralita,and recognized how weak my voice had become:,e riconobbe quanto debole fosse diventata la mia voce:
La bocie: inmantenente miser bando,immediately they gave orders,immediatamente hanno dato ordini
Che ciascun si vada apparechiando,that each one of them prepare,che ognuno di loro si prepara
"A me socorere a canpar la vita,","to help me save my life,","per aiutarmi a salvarmi la vita,"
"Ch’ella sarebe in poco d’or fallita,","which would be over in a short while,","che sarebbe finita tra poco,"
Sed e’ no•mi veniser confortando.,if they did not come to help me.,se non sono venuti ad aiutarmi.
"Quando   i portir’ sentiron quel baratto,","When the gatekeepers heard that commotion,","Quando i portieri udirono quel trambusto,"
Inmantenente tra lor si giuraro,immediately they vowed among themselves,subito giurarono tra loro
"Di non renderla a forza, né a patto;","not to give her up, either by force or by negotiations.","Non abbandonarla, né con la forza né con i negoziati."
E que’ di fuor ancor sì si legaro,And those outside similarly vowed,E quelli fuori hanno giurato allo stesso modo
"Di non partirsi, s’e’ non fosse fatto,","not to leave until the battle was over,","non partire fino alla fine della battaglia,"
E di questo tra•llor si fidanzaro.,and they made this oath among themselves.,e fecero questo giuramento tra loro.
