Original,Translate_IT
"Oppresso di stupore, a la mia guida","Superato dalla meraviglia, mi sono rivolto alla mia guida,"
"mi volsi, come parvol che ricorre",come fa un bambino che sempre scappa indietro
sempre colà dove più si confida;,a colui che ha la sua più grande fiducia.
"e quella, come madre che soccorre","E lei, come una madre, veloce nel confortare"
sùbito al figlio palido e anelo,suo figlio quando è pallido e senza fiato
"con la sua voce, che 'l suol ben disporre,","con una voce che spesso lo calmava in passato,"
mi disse: “Non sai tu che tu se' in cielo?,"Disse: ""Non capite che siete in Cielo?"
"e non sai tu che 'l cielo è tutto santo,","Non capite che tutto il Cielo è santo,"
e ciò che ci si fa vien da buon zelo?,che tutte le cose fatte qui sgorgano dal giusto zelo?
"Come t'avrebbe trasmutato il canto,","Dovrebbe essere chiaro a voi come la loro canzone,"
"e io ridendo, mo pensar lo puoi,","e poi il mio sorriso ti avrebbe confuso,"
poscia che 'l grido t'ha mosso cotanto;,Visto che eri cosi' spaventata dal loro pianto.
"nel qual, se 'nteso avessi i prieghi suoi,","In essa, se aveste compreso le loro preghiere,"
già ti sarebbe nota la vendetta,lo riconosceresti gia'.
che tu vedrai innanzi che tu muoi.,la vendetta che vedrete prima di morire.
La spada di qua sù non taglia in fretta,La spada del Cielo non si affretta mai
"né tardo, ma' ch'al parer di colui","né in ritardo, ma a colui che aspetta"
che disïando o temendo l'aspetta.,"nel desiderio o nella paura, può sembrare così."
Ma rivolgiti omai inverso altrui;,"Ora girati e vedi gli altri,"
"ch'assai illustri spiriti vedrai,",perché guarderai molti spiriti illustri
se com'io dico l'aspetto redui”.,"se solo metti lo sguardo dove dico io."""
"Come a lei piacque, li occhi ritornai,",Ho girato gli occhi come lei aveva esortato e visto
e vidi cento sperule che 'nsieme,cento piccoli globi che si rendevano più luminosi a vicenda
più s'abbellivan con mutüi rai.,nei riflessi scintillanti dei raggi degli uni degli altri.
Io stava come quei che 'n sé repreme,Ero come uno che in se stesso trattiene
"la punta del disio, e non s'attenta","lo stimolo del suo desiderio e, temendo di presumere,"
"di domandar, sì del troppo si teme;",Non osa porre la sua domanda.
e la maggiore e la più luculenta,La più grande e lucida di quelle perle
"di quelle margherite innanzi fessi,",avanzato per soddisfare il mio desiderio
per far di sé la mia voglia contenta.,per saperne di più su di lui.
Poi dentro a lei udi': “Se tu vedessi,"Poi, dal profondo, l'ho sentito dire: ""Potresti vedere,"
"com'io la carità che tra noi arde,","come faccio io, la carità ardente in mezzo a noi,"
li tuoi concetti sarebbero espressi.,avresti condiviso i tuoi pensieri con noi.
"Ma perché tu, aspettando, non tarde",E che il tuo arrivo all'alto traguardo...
"a l'alto fine, io ti farò risposta","non siate ritardati dall'attesa, risponderò"
"pur al pensier, da che sì ti riguarde.","i tuoi pensieri custoditi, che non osi esprimere."
Quel monte a cui Cassino è ne la costa,'La cima della montagna sul cui pendio
fu frequentato già in su la cima,Cassino bugie era una volta molto frequentato
da la gente ingannata e mal disposta;,da persone illuse e perverse.
e quel son io che sù vi portai prima,"""Io sono colui che per primo ha tirato su il pendio"
lo nome di colui che 'n terra addusse,il nome di Colui Che ha fatto scendere sulla terra
la verità che tanto ci soblima;,la verità che ci esalta così tanto.
"e tanta grazia sopra me relusse,",'E tanta grazia risplendeva su di me
ch'io ritrassi le ville circunstanti,Ho condotto le città vicine lontano
da l'empio cólto che 'l mondo sedusse.,dal culto empio che ha ingannato il mondo.
Questi altri fuochi tutti contemplanti,"Tutte queste altre fiamme passarono la vita in contemplazione,"
"uomini fuoro, accesi di quel caldo",acceso da quel calore che porta
che fa nascere i fiori e ' frutti santi.,fiori santi e frutti santi alla nascita.
"Qui è Maccario, qui è Romoaldo,","Qui c'è Macario, qui c'è Romualdus,"
qui son li frati miei che dentro ai chiostri,Ecco i miei fratelli i cui piedi non si sono mai allontanati
fermar li piedi e tennero il cor saldo”.,"oltre i loro chiostri e i cui cuori erano saldi."""
E io a lui: “L'affetto che dimostri,E io a lui: 'L'affetto che si mostra
"meco parlando, e la buona sembianza",quando parli con me e i segni della bontà
"ch'io veggio e noto in tutti li ardor vostri,",che vedo e segno in tutti i tuoi fuochi
"così m'ha dilatata mia fidanza,","'hanno aumentato la mia fiducia,"
come 'l sol fa la rosa quando aperta,mentre il sole espande la rosa
tanto divien quant'ell'ha di possanza.,quando si apre alla sua piena fioritura.
"Però ti priego, e tu, padre, m'accerta","""Perciò, padre, ti prego, rassicurami..."
"s'io posso prender tanta grazia, ch'io",Se posso sperare di ottenere un favore cosi' grande...
ti veggia con imagine scoverta”.,"perché io ti veda con il tuo volto svelato."""
"Ond'elli: “Frate, il tuo alto disio","E lui: 'Fratello, il tuo alto desiderio"
"s'adempierà in su l'ultima spera,","deve trovare compimento nella sfera più alta,"
ove s'adempion tutti li altri e 'l mio.,"dove tutti i desideri sono esauditi, e anche i miei."
"Ivi è perfetta, matura e intera","'C'è solo tutto ciò che desideriamo è perfezionato,"
ciascuna disïanza; in quella sola,"maturo, e intero. È lì da solo"
"è ogne parte là ove sempr'era,","ogni elemento rimane per sempre al suo posto,"
perché non è in loco e non s'impola;,'perché non è nello spazio e non gira
"e nostra scala infino ad essa varca,",su pali. La nostra scala monta fino ad esso
onde così dal viso ti s'invola.,e così la sua cima è nascosta alla tua vista.
Infin là sù la vide il patriarca,Jacob il patriarca vide i gradini più alti della scala
"Iacobbe porger la superna parte,","raggiungere tale altezza quando, brulicando di"
quando li apparve d'angeli sì carca.,gli apparve una folla di angeli.
"Ma, per salirla, mo nessun diparte",Ma ora nessuno si preoccupa di alzare il piede.
"da terra i piedi, e la regola mia","da terra per scalare quei pioli,"
rimasa è per danno de le carte.,E la mia Regola non è che uno spreco di carta.
Le mura che solieno esser badia,Le mura costruite per un'abbazia
"fatte sono spelonche, e le cocolle","sono stati convertiti in tane per ladri e sacchi,"
sacca son piene di farina ria.,"ora ripieno di farina marcia, una volta servito come camini."
Ma grave usura tanto non si tolle,Ma i tassi più alti di usura non sono richiesti.
"contra 'l piacer di Dio, quanto quel frutto",contro la volontà di Dio tanto quanto la mietitura
che fa il cor de' monaci sì folle;,che trasforma i cuori dei monaci in follia.
"ché quantunque la Chiesa guarda, tutto",'Per tutto ciò che la Chiesa ha nel suo mantenimento
è de la gente che per Dio dimanda;,"è riservato a coloro che lo chiedono nel nome di Allah,"
non di parenti né d'altro più brutto.,e non per relazioni affini o più vili.
"La carne d'i mortali è tanto blanda,",'La carne dei mortali è così debole e dissoluta
che giù non basta buon cominciamento,"che i buoni inizi si sviano laggiù,"
dal nascer de la quercia al far la ghianda.,prima che la quercia appena piantata possa produrre ghiande.
"Pier cominciò sanz'oro e sanz'argento,",Peter ha iniziato la sua comunita' senza oro.
"e io con orazione e con digiuno,","né argento, e io con il digiuno e con l'orazione,"
e Francesco umilmente il suo convento;,mentre Francesco con umiltà ha stabilito la sua.
"e se guardi 'l principio di ciascuno,","'Se si considera dove ciascuno ha iniziato,"
"poscia riguardi là dov'è trascorso,","e poi considerare quanto si è allontanato,"
tu vederai del bianco fatto bruno.,vedrai come è diventato scuro il suo bianco.
Veramente Iordan vòlto retrorso,"""Ancora la vista del Giordano è tornata indietro e del mare"
"più fu, e 'l mar fuggir, quando Dio volse,",che si aprirono per volontà di Dio furono prodigi più grandi
mirabile a veder che qui 'l soccorso”.,"di vedere quanto sarebbe stato il Suo intervento qui."""
"Così mi disse, e indi si raccolse","Questo mi disse, e poi si ritirò"
"al suo collegio, e 'l collegio si strinse;","ai suoi compagni, che si avvicinano,"
"poi, come turbo, in sù tutto s'avvolse.",ora vorticoso come in un vortice.
La dolce donna dietro a lor mi pinse,"La mia dolce signora, con un solo gesto, mi ha spinto"
"con un sol cenno su per quella scala,","per seguire dietro di loro la scala,"
sì sua virtù la mia natura vinse;,Cosi' come il suo potere ha superato la mia natura.
né mai qua giù dove si monta e cala,"E mai una volta qui sotto,"
"naturalmente, fu sì ratto moto","dove saliamo e scendiamo per legge naturale,"
ch'agguagliar si potesse a la mia ala.,c'era movimento abbastanza veloce da corrispondere al mio volo.
"S'io torni mai, lettore, a quel divoto","Così posso, lettore, tornare ancora una volta"
trïunfo per lo quale io piango spesso,là a quel santo trionfo per il cui bene
"le mie peccata e 'l petto mi percuoto,","Mi lamento spesso dei miei peccati e mi picchio il seno,"
tu non avresti in tanto tratto e messo,non avresti potuto ritirarti e spingere il dito
"nel foco il dito, in quant'io vidi 'l segno",nel fuoco più veloce di quanto ho visto il segno
che segue il Tauro e fui dentro da esso.,che segue sul Bull ed era all'interno.
"O glorïose stelle, o lume pregno","O stelle gloriose, o luce messa incinta"
"di gran virtù, dal quale io riconosco","con un potente potere, tutto il mio talento,"
"tutto, qual che si sia, il mio ingegno,","Qualunque cosa sia, hai come fonte."
con voi nasceva e s'ascondeva vosco,Da te era risorto e dentro di te nascosta
"quelli ch'è padre d'ogne mortal vita,",colui che è il padre di ogni vita mortale
quand'io senti' di prima l'aere tosco;,quando prima respirai l'aria toscana.
"e poi, quando mi fu grazia largita","E poi, quando mi fu concessa la grazia"
"d'entrar ne l'alta rota che vi gira,","per entrare nella ruota alta che ti fa girare,"
la vostra regïon mi fu sortita.,era la tua zona alla quale sono stato assegnato.
A voi divotamente ora sospira,"A te ora, con devozione, la mia anima sospira"
"l'anima mia, per acquistar virtute",che guadagna forza per il prossimo compito scoraggiante
al passo forte che a sé la tira.,che con tale potere lo attira a se stesso.
"“Tu se' sì presso a l'ultima salute”,","'Sei così vicino alla beatitudine finale,'"
"cominciò Bëatrice, “che tu dei","Beatrice allora cominciò,"
aver le luci tue chiare e acute;,"""D'ora in poi i tuoi occhi saranno chiari ed entusiasti."
"e però, prima che tu più t'inlei,","Così, prima di diventare più uno con esso,"
"rimira in giù, e vedi quanto mondo",Guarda giù ancora una volta e guarda quanti cieli
sotto li piedi già esser ti fei;,"Ho gia' messo sotto i tuoi piedi,"
"sì che 'l tuo cor, quantunque può, giocondo","'così che il tuo cuore, pieno di gioia,"
s'appresenti a la turba trïunfante,possa salutare la folla trionfante che viene
che lieta vien per questo etera tondo”.,"nella gioia di questa sfera eterea."""
Col viso ritornai per tutte quante,Con i miei occhi sono tornato attraverso ognuno
"le sette spere, e vidi questo globo","delle sette sfere sottostanti, e vide questo nostro globo"
"tal, ch'io sorrisi del suo vil sembiante;","per essere tale che ho sorriso, così meschino è sembrato."
e quel consiglio per migliore approbo,Tale parere che giudica quanto meno
che l'ha per meno; e chi ad altro pensa,"Ora approvo come meglio, e colui il cui pensiero"
chiamar si puote veramente probo.,sono fissati su altre cose possono veramente essere chiamati giusti.
Vidi la figlia di Latona incensa,"Ho visto la figlia di Latona brillare brillante,"
sanza quell'ombra che mi fu cagione,senza quell'ombra per la quale una volta credevo
per che già la credetti rara e densa.,Era sia densa che rara.
"L'aspetto del tuo nato, Iperïone,","Il volto di tuo figlio, Hyperion, ho sopportato"
