Original,Translate_EN,Translate_IT_1
I’ fo sì finta mente ognie mio fatto,"“Everything I do, I do with deception,","Tutto quello che faccio, lo faccio con l'inganno,"
"Che Proteùs[so], che già si solea","such that Proteus, who was used","tale che Proteus, che è stato usato"
"Mirare   in tutto ciò, ched e’ volea,",to changing into whatever he desired to be,a trasformarsi in qualunque cosa egli desiderasse essere
Non sepe unquanche il quarto di baratto,did not know even a fourth of the deceptions,non conosceva nemmeno un quarto degli inganni
"Come fo io, che non tenni ancor patto.","that I know. Never did I keep a promise,","Non ho mai mantenuto una promessa,"
"E’ nonn-è ancor nessun, che se n’adea,","and no one is aware of this,","e nessuno se ne rende conto,"
"Tanto no•stea   con meco, o mangi, o bea,",not even the one who passes time or eats or drinks with me;,nemmeno colui che passa il tempo o mangia o beve con me;
Che nella fine no•gli faccia un tratto.,in the end I’ll pull a dirty trick on him.,Alla fine gli farò un brutto scherzo.
Chéd i’ so mia fazone sì ben canbiare,For I know how to change my appearance so well,Perché so come cambiare il mio aspetto così bene
Ched i’ non fui unquanche conosciuto,that I’ve never been recognized,che non sono mai stati riconosciuti
"In luogo, tanto vi potesse usare,","anywhere, even though I may have been there long;","ovunque, anche se potrei essere stato lì per molto tempo;"
"Ché chi mi crede più aver veduto,","for the one who thinks he’s seen me many times,","per colui che crede di avermi visto molte volte,"
"Cogli atti miei gli so gli ochi fasciare,","with my tricks I know how to swathe his eyes,","con i miei trucchi so come fasciargli gli occhi,"
Sì ch’e’ m’à incontanente isconosciuto.,so that he immediately unrecognizes me.”,in modo che immediatamente non mi riconosce.
