Original,Translate_IT
"Mentr'io dubbiava per lo viso spento,","Mentre io, con gli occhi accecati, ero preoccupato,"
de la fulgida fiamma che lo spense,"da quella fiamma luminosa che aveva consumato la mia visione,"
"uscì un spiro che mi fece attento,","ha respirato una voce che ha centrato la mia attenzione,"
dicendo: “Intanto che tu ti risense,"dicendo: ""Fino a quando non hai recuperato il potere"
"de la vista che haï in me consunta,","di vista, che tu hai consumato in me,"
ben è che ragionando la compense.,essere meglio compensare da colloquy.
Comincia dunque; e dì ove s'appunta,Allora cominciate; dichiarate l'obiettivo su cui
"l'anima tua, e fa ragion che sia",la tua anima è incastonata e sii sicuro di questo:
la vista in te smarrita e non defunta:,"la tua visione, anche se confusa, non è morta,"
perché la donna che per questa dia,perché la donna che ti conduce attraverso
"regïon ti conduce, ha ne lo sguardo","questa regione divina ha, nel suo sguardo,"
la virtù ch'ebbe la man d'Anania”.,"che forzava la mano di Anania aveva."""
Io dissi: “Al suo piacere e tosto e tardo,"Dissi: ""Per quanto le piaccia, possa consolarsi presto"
"vegna remedio a li occhi, che fuor porte","o più tardi-raggiungere questi occhi, i suoi cancelli quando lei"
quand'ella entrò col foco ond'io sempr'ardo.,mi ha portato il fuoco con cui brucio sempre.
"Lo ben che fa contenta questa corte,",Il bene con cui questa corte è soddisfatta
Alfa e O è di quanta scrittura,è Alfa e Omega di tutti gli scritti
mi legge Amore o lievemente o forte”.,"che l'Amore mi ha coperto o letto in basso."""
Quella medesma voce che paura,Era proprio la voce che si era dissolta.
"tolta m'avea del sùbito abbarbaglio,","la paura che provai per un'improvvisa abbagliata,"
di ragionare ancor mi mise in cura;,"che ora, con altre parole, mi ha fatto preoccupare"
e disse: “Certo a più angusto vaglio,"per parlare di nuovo. Disse: ""Tu certamente"
ti conviene schiarar: dicer convienti,"deve setacciare con un setaccio ancora più fine, deve dire"
chi drizzò l'arco tuo a tal berzaglio”.,"che ha guidato il tuo arco a mirare a tale obiettivo."""
E io: “Per filosofici argomenti,"E io: ""Per argomenti filosofici"
e per autorità che quinci scende,"e per autorità la cui fonte è qui,"
cotale amor convien che in me si 'mprenti:,"che l'amore deve essere impresso in me, perché"
"ché 'l bene, in quanto ben, come s'intende,","il bene, una volta inteso come tale,"
"così accende amore, e tanto maggio",accende l'amore; e in accordo con più
quanto più di bontate in sé comprende.,la bontà viene più grande amore. E così la mente
"Dunque a l'essenza ov'è tanto avvantaggio,",di chiunque possa discernere la verità
che ciascun ben che fuor di lei si trova,su cui si fonda la prova deve essere spostato
"altro non è ch'un lume di suo raggio,","di amare, più di quanto ami tutto il resto, che essenza"
più che in altra convien che si mova,che è preminente (poiché qualsiasi bene
"la mente, amando, di ciascun che cerne",che si trova al di fuori di esso è nient'altro che
