Original,Translate_EN,Translate_IT_1
"E se quell’uon desdir non si degniasse,","“And if that man would not deign to deny the fact,","E se quell'uomo non si degnasse di negare il fatto,"
"Anzi dirà, per farla più crucciosa,","and instead will say, to make her angrier,","e invece dirà, per farla arrabbiare,"
"Ch’e’•nn’à un’altra, ch’è•ssì amorosa",that he has another woman who’s so in love,che ha un'altra donna che si innamora così tanto
"Di lui, che per null’altro no ’l canbiasse,","with him that she would not exchange him for any other,","con lui che non lo avrebbe scambiato con nessun altro,"
Guardisi quella che non si crucciasse.,then that woman should guard against getting angry.,allora quella donna dovrebbe evitare di arrabbiarsi.
Con tutto ciò se ne mostri dogliosa,"In spite of this, she should feign sadness","Nonostante questo, dovrebbe fingere tristezza"
"Di fuor, ma dentr’al cuor ne sia gioiosa:","on the outside, but in her heart she should rejoice;","all'esterno, ma nel suo cuore dovrebbe rallegrarsi;"
"Ancora più, s[ed] egli s’anegasse.",she should rejoice even more if he were to deny it;,dovrebbe rallegrarsi ancora di più se dovesse negarlo;
E dicagli che già quella vendetta,"and she should tell him that, indeed, revenge","e lei dovrebbe dirgli che, in verità, la vendetta"
"Non sarà fatta, se non sol per lei,","will be taken only by her,","sarà presa solo da lei,"
Sì ch’ella il pagherà di quella detta.,such that she will repay him for that debt.,in modo che lei lo ripagherà per quel debito.
Allor da•llui sì mi dipartirei;,"Then, I would go away from him;",Poi me ne andrei da lui.
"Di far amico mosterè’   gran fretta,","I would be quick to find myself another lover,","Sarei veloce a trovarmi un altro amante,"
Sì ch’io in quella anghoscia il lascierei.,so that I would leave him in that sorrowful state.”,in modo che lo lasciassi in quello stato doloroso.
