Original,Translate_EN,Translate_IT_1
"Quand’i’ vidi l’oferta, che faciea,","When I heard the offer she was making,","Quando ho sentito l'offerta che stava facendo,"
Del fatto mi’ credett’eser ciertano:,I thought for sure the deal was done:,Pensavo che l'accordo fosse concluso.
"Allor sì volli al Fior porre la mano,","thus, I decided to touch the Flower,","così decisi di toccare il Fiore,"
Che molto ringrossato   mi parea.,which seemed to me quite ripe to pick.,che mi sembrava abbastanza maturo da scegliere.
Lo Schifo sopra me forte correa,Resistance ran up to me quickly,La resistenza è corsa verso di me rapidamente
"Diciendo: «Trat’adietro, mal villano,","saying: “Get back, you disloyal rogue,","dicendo: ""Torna indietro, canaglia miscredente,"
"Che•sse m’aiuti Idio e san Giermano,","for so help me God and St. Germain ,","perché mi aiuti Dio e San Germano,"
"I’ non son or quel, ch’i’ esser solea.",I am not now the one I used to be.,Non sono piu' quella che ero una volta.
E ’l Diavol sì ti ci à ora menato:,The devil has brought you here again;,Il diavolo ti ha riportato qui.
"Se mi trovasti a l’altra volta lento,","if the time before you found me slow,","se il tempo prima che tu mi trovassi lento,"
Or  sie ciertan   ch’i’ ti parrò canbiato.,you can now be sure that I have changed.,Ora puoi essere sicuro che io sia cambiato.
Me’ ti varria che fossi a Benivento!».,It would be better for you to be in Benevento.”,Sarebbe meglio per voi essere a Benevento.
"Allora ’l capezal m’ebe pigliato,",Then he took me by the collar,Poi mi ha preso per il colletto.
E domandò chi era mi’ guarento.,and asked who was my guarantor.,e mi chiese chi fosse il mio garante.
