Original,Translate_EN,Translate_IT_1
Falso-Senbiante disse: «Per merzede,"False Seeming said: “For mercy’s sake,",Falso sembrare ha detto: Per misericordia
"Vi priego, Malabocca, c’ascoltiate;","I beg you, Bad Mouth, listen to me;","Ti prego, Mouth Cattiva, ascoltami."
"Ché, quand’uon conta pura ver[i]tate,","for when one tells the honest truth,","perché quando si dice la verità onesta,"
"Molt’è folle colu’, che no•lla crede.",he who does not believe it is very foolish.,chi non lo crede è molto sciocco.
Vo’ sete ben ciertano che•ll’uon non vede,You may be quite sure there’s no evidence,Si può essere abbastanza sicuri che non ci sono prove
Che ’l valletto vi porti nimistade;,that the young lad bears you hatred:,"che il giovane ragazzo ti porta l'odio,"
Sed egli amasse tanto l’amistade,if he were to love the friendship,se amasse l'amicizia
"Del Fior, quanto vo’ dite, a buona fede,","of the Flower as much as you say, and loyally,","del Fiore quanto dici, e fedelmente,"
"Egli à gran peza ch’e’ v’avria morto,","he would have killed you a long time ago,","Ti avrebbe ucciso molto tempo fa,"
Avendogli voi fatto tal oltraggio.,since you did him such a wrong.,Visto che gli hai fatto un torto del genere.
"Ma non vi pensa e non si n’è acorto,","But he doesn’t see things that way, nor he is prepared to,","Ma egli non vede le cose in questo modo, né è pronto a,"
E tuttor sì vi mostra buon coragio:,and he always shows you kindness,e ti mostra sempre gentilezza
"E’ servirebevi a dritto e a torto,",and would serve you in good and in bad,e ti servirebbe nel bene e nel male
"Come que’ ch’è cortese, e prode, e saggio».",as someone who is courteous and valorous and wise.”,come qualcuno che è cortese e valoroso e saggio.
