Original,Translate_IT
"'Per me si va ne la città dolente,",“Per mezzo di me voi entrate nella città delle pene;
"per me si va ne l'etterno dolore,","per mezzo di me, voi penetrate nel dolore senza fine;"
per me si va tra la perduta gente.,"per mezzo di me, voi penetrate tra la gente perduta."
Giustizia mosse il mio alto fattore;,La giustizia guidava la mano del mio autore;
"fecemi la divina podestate,","il potere sovrano mi ha fatto venire al mondo,"
la somma sapïenza e 'l primo amore.,la suprema saggezza e il primo amore.
Dinanzi a me non fuor cose create,"Nessun altro oggetto creato esisteva prima di me,"
"se non etterne, e io etterno duro.",a parte gli eterni; e io sono eterno.
"Lasciate ogne speranza, voi ch'intrate'.","Voi, che dovete entrare, abbandonate la speranza”."
Queste parole di colore oscuro,"Vidi queste parole, tracciate di un colore oscuro,"
vid'ïo scritte al sommo d'una porta;,"scritto sul frontone di una porta, e io dico:"
"per ch'io: “Maestro, il senso lor m'è duro”.","“Maestro, il loro senso sembra terribile e difficile.”"
"Ed elli a me, come persona accorta:",Egli rispose come deve fare un saggio:
“Qui si convien lasciare ogne sospetto;,"“Ora devi dimenticare tutti i dubbi,"
ogne viltà convien che qui sia morta.,Perché non è qui che un codardo può entrare.
Noi siam venuti al loco ov'i' t'ho detto,Siamo arrivati al punto in cui ho detto
che tu vedrai le genti dolorose,che incontrerai uomini la cui pena
c'hanno perduto il ben de l'intelletto”.,È perdere per sempre il bene dell’intelletto”.
E poi che la sua mano a la mia puose,"Poi venne a prendermi una mano nelle sue,"
"con lieto volto, ond'io mi confortai,","e mi fece coraggio con un dolce sorriso,"
mi mise dentro a le segrete cose.,Mi ha fatto entrare in questo mistero.
"Quivi sospiri, pianti e alti guai","Là, pianti, sospiri, lamenti"
"risonavan per l'aere sanza stelle,","risuonano ovunque nell'aria priva di stelle,"
per ch'io al cominciar ne lagrimai.,Prima di entrare ne avevo il cuore stretto.
"Diverse lingue, orribili favelle,","linguaggi confusi e discorsi orribili,"
"parole di dolore, accenti d'ira,","le parole del dolore, l'accento della rabbia,"
"voci alte e fioche, e suon di man con elle","i lamenti, le grida, gli schiaffeggiamenti delle mani"
"facevano un tumulto, il qual s'aggira",C’è un grido che continua a girare.
"sempre in quell'aura sanza tempo tinta,","in questa notte per sempre oscura,"
come la rena quando turbo spira.,come i turbini delle torbiere di sabbia.
"E io ch'avea d'error la testa cinta,","E io, da cui l'orrore già cingeva le tempie:"
"dissi: “Maestro, che è quel ch'i' odo?","“O maestro, dissi allora, che cosa si sente?"
e che gent' è che par nel duol sì vinta?”.,"Chi sono queste persone, così forti nel dolore?”"
Ed elli a me: “Questo misero modo,"«È qui», rispose, «il triste destino"
tegnon l'anime triste di coloro,che aguzza gli spiriti di tutti gli infelici
che visser sanza 'nfamia e sanza lodo.,la cui vita è affondata senza biasimo e senza lode.
Mischiate sono a quel cattivo coro,"Restano qui, mescolati al coro cattivo"
