Original,Translate_EN,Translate_IT_1
"Ancor una crudel costuma abiamo,",“We still have a cruel custom:,Abbiamo ancora una crudele usanza:
Contra cui no’ prendiamo   la nimistade:,"in truth, all of us act","in verità, tutti noi agiamo"
"Quanti no’ siamo,   in buona veritade,",against the person we hate,contro la persona che odiamo
In difamarlo noi ci asottigliamo;,by contriving to ruin his reputation;,contritando di rovinare la sua reputazione;
"E se, per aventura, noi sapiamo","and if, by chance, we learn","e se, per caso, impariamo"
"Com’e’ possa venire a dignitade,","how he may come to an exalted post,","come può venire a un posto eccelso,"
"Nascosamente noi facciàn   taglia[t]e,",in secret we plan to cut him off,In segreto abbiamo intenzione di tagliarlo fuori
Sì che di quella via noi ’l ne gittiamo.,and cast him off the road.,e buttarlo fuori strada.
"E ciò facciamo   noi sì tracielato,",And this we do so secretly,E questo lo facciamo segretamente.
"Ch’e’ non saprà per chui l’avrà perduto,",that he’ll not know who made him lose it,che l'inferno non sa chi l'ha fatto perdere
Infin ch’e’ non ne fia di fuor gittato;,until he has been cast out.,finche' non sara' cacciato via.
"Ché, s’e’ l’avese da prima saputo,","For if he had known it from the start,","Perche' se l'avesse saputo fin dall'inizio,"
Per aventura e’ si saria scusato,"perhaps he would have found a way to protect himself,","forse avrebbe trovato un modo per proteggersi,"
Sì ch’i’ ne saria menzonier tenuto».,and thus I would be considered a liar.”,e quindi sarei considerato un bugiardo.
