Original,Translate_EN,Translate_IT_1
"I’ lodo ben, se•ttu vuo’ far amico,","“If you want to have a lover, I certainly approve","Se volete avere un amante, certamente approvo"
"Che ’l bel valletto, che tant’è piaciente,","of that handsome lad, who is so pleasing,","di quel bel ragazzo, che è così piacevole,"
"Che de le gioie ti fecie presente,",who gave you the jewels as a gift,che ti ha dato i gioielli come regalo
"E àtti amata di gran tenpo antico,","and who has loved you for a very long time,","e che ti ha amato per molto tempo,"
Che•ttu sì•ll’ami; ma tuttor ti dico,"and I approve of your love for him. Nevertheless, I say to you","e approvo il tuo amore per lui. Tuttavia, vi dico"
"Che•ttu no•ll’ami troppo fermamente,","that you should not love him too loyally,","che non dovresti amarlo troppo fedelmente,"
"Ma fa che degli altr’ami, sagiamente,","but make sure that you love others wisely,","ma assicurati di amare gli altri con saggezza,"
"Ché ’l cuor, che•nn’ama un sol, non val un fico.",for the heart that loves only one person is not worth a fig.,per il cuore che ama una sola persona non vale un fico.
"Ed io te ne chiedrò degl’altri assai,","I will seek out lots of other lovers for you,","Cercherò molti altri amanti per te,"
"Sì che d’aver sarai   tuttor fornita,","so that you’ll always be well supplied with this sort of wealth,","in modo che tu sia sempre ben fornito con questo tipo di ricchezza,"
Ed e’ n’andranno con pene e con guai.,and they will go around with pain and laments.,e se ne andranno in giro con dolore e lamenti.
"Se•ttu mi credi, e Cristo ti dà vita,","If you believe me, and if Christ gives you life,","Se mi credi, e se Cristo ti dà la vita,"
"Tu•tti fodrai   d’ermine, e di vai,","you will be dressed in ermine and squirrel,","sarai vestito di ermellino e scoiattolo,"
E la tua borsa fia tuttor fornita.,and your purse will always be full.”,e la vostra borsa sarà sempre pieno.
