Original,Translate_IT
"Di pari, come buoi che vanno a giogo,","Camminavo di concerto con l’anima schiacciata,"
"m'andava io con quell'anima carca,","come avanzano due buoi che tirano lo stesso giogo,"
fin che 'l sofferse il dolce pedagogo.,Mentre mi aspettavo il mio gentile pedagogo.
Ma quando disse: “Lascia lui e varca;,"Ma quando dice: “Prendiamo, lasciamo la loro compagnia;"
"ché qui è buono con l'ali e coi remi,","di qua, ognuno deve spingere la propria barca,"
"quantunque può, ciascun pinger sua barca”;","aiutandosi, se può, dei veli e dei remi”."
dritto sì come andar vuolsi rife'mi,"Mi sono rialzato, come si fa quando si cammina"
"con la persona, avvegna che i pensieri","guardare davanti a sé, anche se con il pensiero"
mi rimanessero e chinati e scemi.,Rimasi sempre confuso e sopraffatto.
"Io m'era mosso, e seguia volontieri",Avevo ripreso a camminare e seguivo volentieri
"del mio maestro i passi, e amendue",le tracce del mio padrone; e già tutti e due
già mostravam com'eravam leggeri;,"Sentivamo quanto fosse facile la strada,"
ed el mi disse: “Volgi li occhi in giùe:,Quando mi disse: “Dirigi il tuo sguardo verso il basso!
"buon ti sarà, per tranquillar la via,","È buono, se vuoi assicurarti il tuo viaggio,"
veder lo letto de le piante tue”.,di esaminare il letto dove si posano i tuoi passi».
"Come, perché di lor memoria sia,","Come, per conservare per sempre la loro memoria,"
sovra i sepolti le tombe terragne,le tombe innalzate sulla terra ai defunti
"portan segnato quel ch'elli eran pria,","di ciò che sono stati rappresentano l’immagine,"
onde lì molte volte si ripiagne,"Il che fa sì che alla loro vista si senta salire le lacrime,"
"per la puntura de la rimembranza,","tanto del ricordo ci punge il pungiglione,"
che solo a' pïi dà de le calcagne;,"che preme solo il cuore delle persone sensibili,"
"sì vid'io lì, ma di miglior sembianza","Vidi qui dei ritratti, infinitamente più belli,"
"secondo l'artificio, figurato","conforme ai canoni dell'arte, e che"
quanto per via di fuor del monte avanza.,"tutto il lato della strada, dal lato del burrone."
Vedea colui che fu nobil creato,Vi vedevo da una parte colui che fu creato.
"più ch'altra creatura, giù dal cielo","più nobile di ogni essere che sia mai stato,"
"folgoreggiando scender, da l'un lato.",precipitato dal cielo più veloce del fulmine.
Vedëa Brïareo fitto dal telo,E poi c’era il gigante Briarèe.
"celestïal giacer, da l'altra parte,","che giaceva trafitto dal celeste tratto,"
grave a la terra per lo mortal gelo.,Impiallacciato contro il suolo dal freddo della morte;
"Vedea Timbreo, vedea Pallade e Marte,","Io vi vidi Marte e Pallas e il gigante Timbro,"
"armati ancora, intorno al padre loro,","armati, stringendo i ranghi intorno al padre,"
mirar le membra d'i Giganti sparte.,Guardando i resti dei Titani abbattuti.
Vedea Nembròt a piè del gran lavoro,"Vidi Nemrod ai piedi dell’enorme edificio,"
"quasi smarrito, e riguardar le genti",con uno sguardo sviato considerando i popoli
che 'n Sennaàr con lui superbi fuoro.,che erano orgogliosi con lui in Sennar.
"O Nïobè, con che occhi dolenti","Tu, Niobe, che i tuoi occhi erano tristi,"
"vedea io te segnata in su la strada,","come li ho visti figurati sulla mia strada,"
tra sette e sette tuoi figliuoli spenti!,tra i tuoi due figli sterminati sette volte!
"O Saùl, come in su la propria spada","O Saul, che la tua morte mi sembrava eloquente,"
"quivi parevi morto in Gelboè,","dalla tua spada, laggiù, a Gelboe,"
che poi non sentì pioggia né rugiada!,che da allora ignorano la pioggia e la rugiada!
"O folle Aragne, sì vedea io te","E tu, pazza Arachné, ti vedevo anche lì,"
"già mezza ragna, trista in su li stracci","tutto implorato, già mutato in ragno,"
de l'opera che mal per te si fé.,sopra i lembi intessuti per la tua sventura.
"O Roboàm, già non par che minacci","Roboam, qui non sei più minaccioso,"
quivi 'l tuo segno; ma pien di spavento,"portato via dal tuo carro e pieno di spavento,"
"nel porta un carro, sanza ch'altri il cacci.",Non si pensa più a darti la caccia.
Mostrava ancor lo duro pavimento,Si poteva vedere anche sulla ruvida lastricata.
come Almeon a sua madre fé caro,"Alcméon, che un tempo esigeva da sua madre"
