Original,Translate_EN,Translate_IT_1
"La Vechia disse allor: «Amico mio,","The Old Woman then said: “My friend,","Allora la vecchia donna disse: ""Amico mio,"
"Queste son le novelle, ch’i’   t’aporto:",this is the news I bring you:,Questa è la notizia che vi porto:
Bellacoglienza salute e conforto,Fair Welcome sends you greetings,Fair Welcome ti manda i saluti
"Te manda, se m’aiuti l’alto Dio;","and encouragement, so help me Almighty God.","e incoraggiamento, che mi aiuti Dio onnipotente."
Sì ch’i’   ti dico ben ched i’   cred’io,"Thus, I say to you that I believe","Così, vi dico che io credo"
Che•lla tua nave ariverà a tal porto,your ship will arrive in such a port,la vostra nave arriverà in un tale porto
Che•ttu sì coglierai   il Fior dell’orto».,that you will pluck the Flower in the garden.”,che voi strapperete il Fiore nel giardino.
"Questo motto fu quel, che mi guerio.",These are the words that healed me.,Queste sono le parole che mi hanno guarito.
"«Or te dirò, amico, che farai:","“Now I’ll tell you, my friend, what you’ll do:","Ora ti dico, amico mio, cosa fai tu:"
"All’uscio, c’apre verso del giardino,",you will come very quietly,verrai molto silenziosamente
Ben cheta mente tu te ne verai;,to the gate that opens to the garden;,alla porta che si apre al giardino;
"Ed i’   sì me ne vo ’l dritto camino,",and I will go along the straight road,e io andrò lungo la strada dritta
"E sì farò c’aperto il troverai,","and make sure you’ll find the gate open,","e assicuratevi di trovare il cancello aperto,"
Sì che•ttu avrai   il Fior in tuo dimino».,so that you will have the Flower in your possession.”,in modo che si avrà il Fiore in vostro possesso.
