Original,Translate_IT
Già si godeva solo del suo verbo,Ora era solo gioire nella sua parola
"quello specchio beato, e io gustava","Quell'anima beatificata, e stavo assaggiando"
"lo mio, temprando col dolce l'acerbo;","Il mio, il temperamento amaro con il dolce,"
e quella donna ch'a Dio mi menava,E la Signora che mi conduceva a Dio
disse: “Muta pensier; pensa ch'i' sono,"Disse: ""Cambia il tuo pensiero; considera che io sono"
presso a colui ch'ogne torto disgrava”.,"Vicino a Colui che ogni torto dissolve."""
Io mi rivolsi a l'amoroso suono,# Agli accenti amanti del mio conforto #
del mio conforto; e qual io allor vidi,Mi girai e poi vidi l'amore
"ne li occhi santi amor, qui l'abbandono:",In quei santi occhi mi arrendo;
"non perch'io pur del mio parlar diffidi,","Non solo che la mia lingua mi diffidi,"
ma per la mente che non può redire,Ma che la mia mente non può tornare fino ad ora
"sovra sé tanto, s'altri non la guidi.","Sopra se stesso, a meno che non lo guidi un altro."
"Tanto poss'io di quel punto ridire,","Così tanto su quel punto posso ripetere,"
"che, rimirando lei, lo mio affetto","Che, lei che vede, il mio affetto..."
"libero fu da ogne altro disire,",Da ogni altro desiderio è stato rilasciato.
"fin che 'l piacere etterno, che diretto","Mentre il piacere eterno, che dirige"
"raggiava in Bëatrice, dal bel viso","Rayed su Beatrice, dal suo bel viso"
mi contentava col secondo aspetto.,"Mi ha soddisfatto con il suo aspetto riflesso,"
"Vincendo me col lume d'un sorriso,","Conquistandomi con lo splendore di un sorriso,"
ella mi disse: “Volgiti e ascolta;,"Mi disse: ""Girati intorno e ascoltami;"
ché non pur ne' miei occhi è paradiso”.,"Non solo ai miei occhi è il Paradiso."""
Come si vede qui alcuna volta,Anche come a volte qui vediamo
"l'affetto ne la vista, s'elli è tanto,","L'affetto nello sguardo, se è così"
"che da lui sia tutta l'anima tolta,","Che tutta l'anima è avvolta via da esso,"
"così nel fiammeggiar del folgór santo,","Così, per l'infuocato dell'effulgenza santa"
"a ch'io mi volsi, conobbi la voglia","A cui mi voltai, vi riconobbi"
in lui di ragionarmi ancora alquanto.,Il desiderio di parlarmi un po' piu' lontano.
El cominciò: “In questa quinta soglia,"E cominciò: ""In questo quinto luogo di riposo"
de l'albero che vive de la cima,"sull'albero che vive vicino alla sua sommità,"
"e frutta sempre e mai non perde foglia,","e si dà frutto, e non perde mai foglia,"
"spiriti son beati, che giù, prima","Sono spiriti benedetti che sotto, ancora"
"che venissero al ciel, fuor di gran voce,","Vennero in Cielo, erano di così grande fama"
sì ch'ogne musa ne sarebbe opima.,Che ogni Musa con lui sarebbe affluente.
Però mira ne' corni de la croce:,Guarda dunque le corna della croce
"quello ch'io nomerò, lì farà l'atto","Colui che io chiamerò là, lo dichiarerà."
che fa in nube il suo foco veloce”.,"Che cosa fa dentro una nuvola il suo fuoco rapido."""
Io vidi per la croce un lume tratto,Ho visto athwart la Croce uno splendore disegnato
"dal nomar Iosuè, com'el si feo;","Dando il nome a Joshua, (anche come ha fatto,)"
né mi fu noto il dir prima che 'l fatto.,E non ho notato la parola prima dell'atto;
E al nome de l'alto Macabeo,E al nome del grande Maccabeo
"vidi moversi un altro roteando,",Ho visto un'altra mossa che girava.
e letizia era ferza del paleo.,E la gioia era la frusta per quella cima.
Così per Carlo Magno e per Orlando,"Allo stesso modo per Carlo Magno e per Orlando,"
"due ne seguì lo mio attento sguardo,",Due di loro il mio sguardo attento seguito
com'occhio segue suo falcon volando.,Come segue l'occhio il suo falco che vola.
Poscia trasse Guiglielmo e Rinoardo,"Guglielmo poi, e Renouard,"
e 'l duca Gottifredi la mia vista,"E il Duca Godfrey, ha attirato la mia vista"
"per quella croce, e Ruberto Guiscardo.","Lungo quella Croce, e Robert Guiscardo."
