Original,Translate_EN,Translate_IT_1
"Il marinaio, che tuttor navicando",“The sailor who continues to sail,Il marinaio che continua a navigare
"Va per lo mar, ciercando terra istrana,","over the sea, looking for an unknown land,","sul mare, alla ricerca di una terra sconosciuta,"
"Con tutto si guid’e’ per tramontana,","even though he sets his course by the North star,","Anche se ha stabilito la sua rotta vicino alla stella del Nord,"
Sì va e’ ben le sue vele canbiando,still he adjusts his sails,ancora si aggiusta le vele
"E per fugire   da terra c’apressando,","to move away from the coast or to approach it,","allontanarsi dalla costa o avvicinarsi ad essa,"
"In quella guisa, c’allor gli è più sana.",thus doing what is best for him at that moment:,facendo ciò che è meglio per lui in quel momento:
Così governa mese e settimana,"in this way he sails for months and weeks,","in questo modo naviga per mesi e settimane,"
Insin che ’l mar si va rabonacciando.,until the sea becomes calm.,finché il mare non sarà calmo.
"Così dé far chi d’Amor vuol gioire,","Whoever desires Love’s joy must act in this way,","Chi desidera amare la gioia deve agire in questo modo,"
Quand’e’ truova la sua donna diversa:,if he discovers his lady to be cruel:,se scopre la sua dama di essere crudele:
"Un’or la dé cacciar, altra fugire.","now he must hunt her, and now flee from her.","ora deve darle la caccia, e ora fuggire da lei."
"Allor sì•lla vedrà palida, e persa,","When he’ll see her pale and pallid,","Quando l'inferno la vedrà pallida e pallida,"
Ché sie ciertan che le parrà morire,he’ll know she’ll think it forever,l'inferno sa che lei lo penserà per sempre
Insin che no•lli cade sotto inversa.,until she’s flat on her back beneath him.”,fino a quando lei si appiattisce sulla schiena sotto di lui.
