Original,Translate_EN,Translate_IT_1
"Gran festa gli farai, e grand’amore,",“You’ll welcome him most warmly and with great honor,Lo accoglierai più calorosamente e con grande onore
E dì come gli ti sè tutta data,"and say that you’ve given yourself completely to him,","e dire che ti sei dato completamente a lui,"
"Ma non per cosa, ch’e’ t’agia donata,","but not for anything that he may have given you,","ma non per nulla che possa averti dato,"
Se non per fino e per leal amore;,but only through noble and faithful love.,ma solo per amore nobile e fedele.
"Che•ttu à’ rifiutato gran signore,","Say that you have refused an eminent lord,","Di' che hai rifiutato un signore eminente,"
Che ricca mente   t’avrebe [dona]ta,who would have given you much wealth:,"che ti avrebbe dato molte ricchezze,"
"“Ma credo che m’avete incantata,","‘But I believe that you’ve bewitched me,","Ma io credo che tu mi abbia stregato,"
Per ched i’ son entrata   in quest’errore”.,for which reason I’m caught up in this passionate error.’,per cui il motivo che I.C.A.R. è coinvolto in questo errore appassionato.
"Allor sì ’l bascierai istrettamente,","Then you’ll kiss him long and hard,","Poi lo bacerai a lungo e forte,"
Pregando ’l che•lla cosa sia sagreta,"begging him to keep your love a secret,","pregandolo di mantenere il tuo amore segreto,"
Sì che no ’l senta mai nessuna giente.,so that no one will ever know about it.,in modo che nessuno lo sappia mai.
"A•cciò, ch’e’ vorrà fare, istarà’ cheta;","To anything he’ll want to do, you’ll agree silently,","A tutto ciò che l'inferno vuole fare, lei è d'accordo silenziosamente,"
Ma guarda che non fosse aconsentente,but be careful not to consent,ma stai attento a non acconsentire
"A nessun, se non se per la moneta.","to any one, except for money.”","a chiunque, ad eccezione dei soldi."
