Original,Translate_EN,Translate_IT_1
"Quando Gielosia vide il chastel fatto,","On seeing that the castle was complete,","Vedendo che il castello era completo,"
"Sì si pensò d’avervi guernimento,","Jealousy had it stocked with arms,","La gelosia lo aveva rifornito di armi,"
Ch[ed] e’ non era suo intendimento,for she did not wish to surrender it,perché non voleva arrendersi
Di renderlo per forza néd a patto.,either through battle or treaty.,sia attraverso la battaglia o il trattato.
"Per dare   a’ suo’ nemici mal atracto,",In order to give her enemies a bad reception,Al fine di dare ai suoi nemici una cattiva accoglienza
"Vi mise dentro gran saettamento,","she placed inside a great store of projectiles,","ha messo dentro un grande magazzino di proiettili,"
"E pecie, e olio, e ogni’ altro argomento",and tar and oil and everything else,"e catrame, olio e tutto il resto"
Per arder chastel di legniame o ghatto,"that would ignite a war machine or battering ram,","che accenderebbe una macchina da guerra o un ariete,"
S’alcun lo vi volesse aprossimare:,if any one of these would approach too close.,se uno di questi si avvicinerebbe troppo vicino.
Ché perduti ne son molti chastelli,For many castles have been lost,Per molti castelli sono stati persi
Per non prendersi guardia del cavare.,by those who failed to note their enemies’ ploys.,da parte di coloro che non hanno notato i loro nemici
"Ancor fe’ far   trabochi, e manghanelli","Jealousy had still other weapons made,","La gelosia aveva ancora altre armi fatte,"
"Per li nemici lungi far   istare,",such as catapults that would keep the enemies far away,come le catapulte che manterranno i nemici lontani
E servirli di pietre e di quadrelli.,by pelting them with stones and darts.,con pietre e freccette.
