Original,Translate_EN,Translate_IT_1
Bellacoglienza fu nella forteza,Fair Welcome was put and enclosed,Fair Welcome è stato messo e incluso
Per man di Gielosia mess’ e fermata.,"inside the fortress by Jealousy,","dentro la fortezza di Gelosia,"
"Ad una Vechia l’ebe acomandata,",who charged an old woman,che ha accusato una vecchia donna
"Che•lla tenesse tuttor in distreza,",to keep her always under lock and key.,per tenerla sempre sotto chiave.
"Ch’ella dottava molto su’ belleza,","Jealousy greatly feared her beauty,","La gelosia temeva molto la sua bellezza,"
"Che Chastità à tuttor gueregiata,","which Chastity has always defended,","che la castità ha sempre difeso,"
"E Cortesia, di chu’ era nata,","and that Lady Courtesy, who is her mother,","e quella Lady Courtesy, che è sua madre,"
No•lle faciesse far del Fior largheza.,might make her give away the Flower.,Potrebbe farla regalare il Fiore.
Ver è ched ella sì ’l fecie piantare,And so it is true that she had it planted,E così è vero che l'ha fatto piantare
"Là ’ve Bellacoglienza era ’n pregione,","there where Fair Welcome was imprisoned,","là dove è stato imprigionato Fair Welcome,"
Ch’altrove no ’l sapea dove fidare.,for she knew of no other safe place.,Perche' non sapeva di nessun altro posto sicuro.
"Lassù non dottav’ella tradigione,","There on top she feared no betrayal,","Lì in cima non temeva alcun tradimento,"
"Ché quella Vechia, a chu’ ’l diede a guardare,","for that old woman, to whom she gave it for safekeeping,","per quella vecchia, alla quale l'ha data per custodirla,"
S’iera del ligniagio Salvagnione.,was a descendant of Salvagnone.,era un discendente di Salvagnone.
