Original,Translate_EN,Translate_IT_1
"«Po’ ch’e’ vi piacie, ed i’ sì ’l vi diròe»,","“Since it is your pleasure, I’ll tell you all you want,”","Dal momento che è il vostro piacere, io dico tutto quello che volete,"
"Diss’alor Falsenbiante: «or ascoltate,","False Seeming said then. “Now listen,",Falso aspetto ha detto allora.
Chéd i’ sì vi dirò  la veritate,for I’ll tell you the truth,per Iftyll dirvi la verità
"De•luogo, dov’io uso e dov’i’ stoe.",about the place I frequent and where I stay.,circa il luogo che frequento e dove sto.
"Alcuna volta per lo secol voe,","Sometimes I mix with the laity,","A volte mi mischio con i laici,"
"Ma dentro a’ chiostri fugo in salvitate,","but I flee to the cloisters for safety,","ma io fuggo verso i chiostri per salvarmi,"
Ché quivi poss’io dar le gran ghigniate,for there I can be a great mocker,perché lì posso essere un grande scherno
E tuttor santo tenuto saròe.,and will always be regarded as a saint.,e sarà sempre considerato un santo.
Il fatto a’ secolari è troppo aperto:,Lay brothers’ work is way too open:,Il lavoro dei fratelli laici è troppo aperto:
"Lo star guari co•lor non mi bisognia,","I don’t need to associate with them a lot,","Non ho bisogno di associarmi molto con loro,"
C’a me convien giucar troppo coperto.,for I have to play my game in great secrecy.,Perche' devo fare il mio gioco in grande segreto.
"Perch’i’ la mia malizia mi ripognia,","In order to hide my wickedness,","Per nascondere la mia malvagità,"
Vest’io la roba del buon frate Alberto:,I don the habit of the good brother Albert.,Faccio l'abitudine del buon fratello Albert.
"Chi tal rob’àe, non teme mai vergognia.",Whoever wears that garb never fears shame.”,Chiunque indossi quell'abito non teme mai vergogna.
