Original,Translate_EN,Translate_IT_1
Ne•letto su’ si metta in braccio   in braccio,"“In her bed she should embrace him,","Nel suo letto lei dovrebbe abbracciarlo,"
"Co•llui insiem’, e faccian lor diporto;",and together have their pleasure;,e insieme hanno il loro piacere;
"Ma dica tuttor: “Lassa, crudel torto",but she should say over and over: ‘O wretched me!,ma lei dovrebbe dire più e più volte: mi misericordioso!
"È questo, che ’nverso il mi’ sire faccio”.",This is a terrible wrong I’m doing to my husband.’,Questo è un terribile sbagliato che io ha fatto a mio marito.
"E nella gioia, c’à, gli metta inpaccio,","And in the midst of his joy, she should introduce this difficulty,","E in mezzo alla sua gioia, essa dovrebbe introdurre questa difficoltà,"
Sì ch’egli abia paura e disconforto:,so that he may be afraid and uneasy:,"perché sia spaventato e a disagio,"
Dicier li dee ch’e’ sarebe morto,she must say to him that he would be killed,lei deve dirgli che sarebbe stato ucciso
"Sanz’averne rispetto, molt’avaccio,","without any consideration and quickly,","senza alcuna considerazione e in fretta,"
"Se•ll’uon sapesse ch’e’ fosse co•llei,",if it were known that he was with her:,se si sapesse che era con lei:
"E di’: “Lassa, dolente, malaurata,","‘And poor wretched me, unlucky one,","E povero miserabile me, sfortunato uno,"
"So che vitiperata   ne sarei,","I know that I would be maligned,","So che sarei stato diffamato,"
"E ch’i’, per man de’ mie’,   sare’   ismenbrata”.",and torn apart at the hands of my relatives.’,e lacerato per mano dei miei parenti.
"E in questa paura i’ ’l metterei,","I would put him in this state of fear,","Lo metterei in questo stato di paura,"
Ché da lui ne sarebe più amata.,so that she would be loved by him even more.”,in modo che lei sarebbe stata amata da lui ancora di più.
