Original,Translate_IT
Quanto tra l'ultimar de l'ora terza,Uno spazio simile a quello della sfera
e 'l principio del dì par de la spera,Scoperto tra la terza e la punta del giorno
"che sempre a guisa di fanciullo scherza,","girando senza sosta, come un bambino che gioca,"
tanto pareva già inver' la sera,In questo momento sembrava ancora da percorrere.
essere al sol del suo corso rimaso;,"al sole sulla sua strada, prima del buio;"
"vespero là, e qui mezza notte era.","era vespro lassù, e tra noi mezzanotte,"
"E i raggi ne ferien per mezzo 'l naso,","e avevo i raggi in pieno nella figura,"
"perché per noi girato era sì 'l monte,","perché avevamo fatto così bene tutto il giro del monte,"
"che già dritti andavamo inver' l'occaso,","che stavamo già volgendo verso il tramonto,"
quand'io senti' a me gravar la fronte,quando sentii pesare come un peso sulla mia fronte
"a lo splendore assai più che di prima,",Una luce molto più forte di quella dei raggi.
e stupor m'eran le cose non conte;,e la cui novità mi riempie di stupore.
ond'io levai le mani inver' la cima,"alzai entrambe le mani sopra le sopracciglia,"
"de le mie ciglia, e fecimi 'l solecchio,",Cercando di usarmi per farmi uno schermo
che del soverchio visibile lima.,e limare con lui l’eccesso della luce.
Come quando da l'acqua o da lo specchio,Come un raggio che cade sopra un ghiaccio
"salta lo raggio a l'opposita parte,",o sull'acqua rimbalza in una direzione opposta
salendo sù per lo modo parecchio,e sale verso l'alto nello stesso modo
"a quel che scende, e tanto si diparte",scenda e si allontani alla stessa distanza
"dal cader de la pietra in igual tratta,","della linea che segue la caduta di una pietra,"
sì come mostra esperïenza e arte;,"Come hanno dimostrato l’esperienza e l’arte,"
così mi parve da luce rifratta,Così immaginavo che ciò che vedevo
quivi dinanzi a me esser percosso;,"era uno splendore davanti a me rifratta,"
per che a fuggir la mia vista fu ratta.,e il mio sguardo fuggiva dallo shock dei suoi raggi.
"“Che è quel, dolce padre, a che non posso","“Qual è dunque questo oggetto, dolce padre?” chiesi."
"schermar lo viso tanto che mi vaglia”,",Perché non riesco a trovare una protezione che valga
"diss'io, “e pare inver' noi esser mosso?”.","per i miei occhi, e sento che egli avanza verso di noi»."
“Non ti maravigliar s'ancor t'abbaglia,"“Non c’è da meravigliarsi”, disse, “se il tuo sguardo"
"la famiglia del cielo”, a me rispuose:",non può sopportare la famiglia del Cielo:
“messo è che viene ad invitar ch'om saglia.,Questo messaggero ci dice che possiamo salire.
Tosto sarà ch'a veder queste cose,"Verrà presto l’ora, in cui l’aspetto di queste cose"
"non ti fia grave, ma fieti diletto",ti sarà più facile e diventerà la fonte
quanto natura a sentir ti dispuose”.,"di un piacere senza pari, che colmerà i tuoi sensi»."
"Poi giunti fummo a l'angel benedetto,","Quando finalmente fummo vicini all’angelo benedetto,"
con lieta voce disse: “Intrate quinci,"dice con gioia: “Entrate, entrate qui,"
ad un scaleo vie men che li altri eretto”.,per prendere una scala meno ripida degli altri!”
"Noi montavam, già partiti di linci,","Salivamo vicino a là, quando udimmo"
e 'Beati misericordes!' fue,dietro di noi la sua voce che cantava: «Beati
"cantato retro, e 'Godi tu che vinci!'.","misericordia» e: «Rallegrati, vincitore!»."
Lo mio maestro e io soli amendue,"Io e il mio padrone, da soli, camminavamo insieme."
"suso andavamo; e io pensai, andando,","verso l'alto; io pensai, mentre camminavamo,"
prode acquistar ne le parole sue;,trarre profitto dai suoi insegnamenti.
