Original,Translate_EN,Translate_IT_1
"Quel Socràto, dond’i’ ti vo parlando,",“That Socrates of whom I speak to you,# That Socrate of which I parl to you #
"Si fu fontana piena di salute,","was a veritable fountain of happiness,","era una vera e propria fontana di felicità,"
"Della qual derivò ognie salute,","from which all happiness has derived,","da cui tutta la felicità è derivata,"
Po’ ched e’ fu del tutto al me’ comando.,after he was completely under my command.,dopo che era completamente sotto il mio comando.
Né mai Fortuna no ’l gi’ tormentando:,Fortune never tormented him;,La fortuna non l'ha mai tormentato;
"Non pregiò sue levate, né cadute,",he gave no heed to her ups and downs.,non diede ascolto ai suoi alti e bassi.
"Suo’ gioie e noie per lui fur ricievute,","He accepted her joys and troubles,","Egli accettò le sue gioie e i suoi problemi,"
Né ma’ su’ viso non n’andò canbiando.,and never did his face change expression.,e non ha mai cambiato espressione.
"E bene e mal mettea in una bilanza,","On a scale he put both good and evil,","Su una scala ha messo sia il bene che il male,"
"E tutto la faciea igual pesare,","and since he gave them equal weight,","e siccome aveva dato loro lo stesso peso,"
"Sanza prenderne gioia, né pesanza.",he had no joy or sadness.,non aveva né gioia né tristezza.
"Per Dio, ched e’ ti piaccia riguardare","In the name of God, please reconsider","In nome di Dio, vi prego di riconsiderare"
"Al tu’ profitto, e prendim’ad amanza!","for your profit, and take me as your lover!","per il tuo profitto, e prendimi come tuo amante!"
Più alto non ti puo’ tu inparentare.,You can affiliate with no one more noble than I.”,Si può affiliare con nessuno più nobile di I.
