Original,Translate_EN,Translate_IT_1
"Quand’i’ mi vidi in così alto grado,","When I saw myself in such an exalted state,","Quando mi sono visto in uno stato così esaltato,"
"Tutti i mie’ ben fattori ringraziai,","I gave thanks to all my benefactors,","Ho ringraziato tutti i miei benefattori,"
"E più gli amo ogi, ch’i’ non feci mai,","and I love them more today than ever before,","e li amo più oggi che mai,"
Ch’e’ molto si penar di far mi’ grado.,for they worked hard to make my pleasure possible.,Perche' hanno lavorato sodo per rendere possibile il mio piacere.
"Al Die d’Amor, ed a la madre i’ bado","I follow the commands of Love and his mother,","Seguo i comandi dell'Amore e di sua madre,"
"E a’ baron’ de l’oste, ch’i’ amo assai,",and to the army of Love I proclaim,e all'esercito dell'Amore proclamo
"D’esser lor fedele a senpremai,",that I will be loyal to them forever,che sarò loro fedele per sempre
"E di servirgli, e non guardar ma’ guado.",and will serve them and always honor my pledge.,e li servira' e rispettera' sempre la mia promessa.
"Al buono Amico, e a Bellacoglienza",To the good Friend and Fair Welcome,Al buon Amico e Fiera Benvenuto
Rendé’ grazie mille e mille volte;,"I gave thanks a thousand times and more,","Ho ringraziato mille volte e più,"
"Ma di Ragione non n’ebi sovenenza,","but I never gave a thought to Reason,","ma non ho mai pensato alla Ragione,"
"Che•lle mie gioie mi credette aver tolte,",who thought she had taken away my joys.,che pensava di avermi portato via le gioie.
"Ma contra lei i’ ebi provedenza,",But against her I used such shrewdness,Ma contro di lei ho usato tanta astuzia
"Sì ch’i’ l’ò tutte quante avute e colte,",that I have enjoyed and gathered them all.,che ho goduto e raccolto tutti.
