Original,Translate_EN,Translate_IT_1
"Come Falso-Senbiante sì parlava,","As False Seeming was speaking in that way,","Mentre False Seeming parlava in quel modo,"
"Amor   sì ’l prese allora a ragionare,",Love began to address him,L'amore ha cominciato a rivolgersi a lui
"E disegli, in ronpendo su’ parlare,","and, interrupting his speech, said","e, interrompendo il suo discorso, disse"
C’a ’l su’ parer ver’ Dio troppo fallava.,"that, in his opinion, he was sinning against God.","che, secondo lui, peccava contro Dio."
E poi il domandò se l’uon trovava,And then he asked him if it was possible to find,E poi gli chiese se era possibile trovare
Religione in giente seculare.,religion in lay brothers.,religione nei fratelli laici.
"Que’ disse: «Sì, nonn-è mestier dottare»,","That one said: “Yes, there’s no need to doubt","Quello ha detto: Sì, là non ha bisogno di dubitare"
"Che più che ’n altro luogo ivi fruttava,",that it bore more fruit there than elsewhere;,che vi portava più frutti che altrove;
"Chéd e’ sarebe troppo gran dolore,",for it would be too great a sorrow,perché sarebbe un dolore troppo grande
Se ciaschedun su’ anima perdesse,"for everyone to lose his soul,","perché ognuno perda la sua anima,"
Perché vestisse drappo di colore.,because he wore colorful clothing.,Perche' indossava vestiti colorati.
"Né lui, né altri già ciò non credesse",Neither he nor others would ever believe this:,Né lui né gli altri ci crederebbero mai:
Ché ’n ognie roba porta frutto e fiore,because religion produces fruit and flowers in every imaginable guise,perché la religione produce frutti e fiori in ogni veste immaginabile
"Religion, ma’ che ’l cuor  le si desse.",provided that one gives one’s heart wholly over to it.”,a condizione che si dà un cuore di uno di essi interamente oltre ad esso.
