Original,Translate_EN,Translate_IT_1
Così à quella Vechia sermonato.,In this way that old woman preached.,In questo modo predicava quella vecchia.
"Bellacoglienza molto queta è stata,",Fair Welcome was very quiet,Fair Welcome era molto tranquillo
"E molto volontier l’à ascoltata,","and listened to her most willingly,","e l'ascoltarono più volentieri,"
E molto e’ n’è ’l su’ cuor rasicurato:,and her heart is greatly reassured by it.,e il suo cuore è molto rassicurato da esso.
"Sì ch’e’ seria legier a far mercato,","Thus, it would be easy to close the deal,","Quindi, sarebbe facile chiudere l'affare,"
"Se Gielosia non vi fosse trovata,",if Jealousy had not been there,se la gelosia non ci fosse stata
"E ’ tre portier’, che fanno gran veghiata,","and the three gatekeepers who are so vigilant,","e i tre guardiani che sono così vigili,"
Ché ciascun dotta d’eser barattato.,for each one is afraid of being deceived.,perché ognuno ha paura di essere ingannato.
"Di Mala-Bocca, che già era   morto,",None of them was very concerned,Nessuno di loro era molto preoccupato.
"Nessun di lor non faciea mala ciera,","about Bad Mouth, who was already dead,","su Bad Mouth, che era già morto,"
"Ché, chi l’amasse, sì faria gran torto:",for whoever would love him would make a big mistake;,perché chiunque lo amerebbe farebbe un grosso errore;
"Ch’e’ non finava di dìe, né da sera,",for day and night he never stopped,per giorno e notte non si è mai fermato
"Di dar a Gielosia nuovo sconforto,","giving Jealousy new trouble,","dando nuovo guaio alla gelosia,"
Né non diciea giamai parola vera.,and never did he utter a true word.,e non ha mai pronunciato una parola vera.
