Original,Translate_EN,Translate_IT_1
Inpresso vo’ che•ttu agie astinenza,“After this I want you to refrain,Dopo questo voglio che tu si astenga
"Di non andar sovente dal chastello,","from going often to the castle,","di andare spesso al castello,"
Né non mostrar che•tti sia guari bello,and do not show that you like,e non mostrare che ti piace
A riguardar là ov’è Bellacoglienza:,to gaze at the place where Fair Welcome resides.,per guardare il luogo in cui risiede Fair Welcome.
Ch’e’•tti convien aver gran provedenza,"For you must be very careful,","Perche' devi stare molto attento,"
"Insin che Malabocha   t’è ribello,","as long as Bad Mouth is hostile towards you,","finche' la Mouth Cattiva e' ostile verso di te,"
"Ché•ttu sa’ ben ch’egli è un mal tranello,",since you know that he is a terrible person,visto che sai che e' una persona orribile
"Che giorno e nott’e’ grida, e nogia, tenza.",who screams and shouts and argues day and night.,che urla e grida e discute giorno e notte.
De l’altre guardie non bisognia tanto,You don’t have to be as careful with the other guards,Non devi stare così attento con le altre guardie.
Guardar com’e’ ti fa di Mala-Bocha,"as you do with Bad Mouth,","come fai con la Mouth Cattiva,"
Ch’elle starian volontier da l’un canto;,for they would gladly stay off to one side;,perché sarebbero stati felici di stare da una parte;
Ma quel normando incontanente scocha,but that Norman immediately shoots off his mouth,ma che Norman gli spara immediatamente dalla bocca
"Ciò ched e’ sa, ed in piaza ed a santo,","about everything he knows, both in the squares and in the churches;","su tutto quello che sa, sia nelle piazze che nelle chiese;"
"E con’ truova da sé, e’ mette in cocha.",he concocts his tales and readies them for delivery.”,egli inventa le sue storie e le prepara per la consegna.
