Original,Translate_IT
"Cantando come donna innamorata,",Per fare il suo corso attraverso l'acqua più liscia
continüò col fin di sue parole:,"la piccola corteccia del mio spirito ora arrampica la sua vela,"
'Beati quorum tecta sunt peccata!'.,lasciando alle spalle quel mare crudele.
E come ninfe che si givan sole,"Ora canterò il secondo regno,"
"per le salvatiche ombre, disïando","là dove l'anima dell'uomo è purificata,"
"qual di veder, qual di fuggir lo sole,",resa degna di ascendere al Cielo.
"allor si mosse contra 'l fiume, andando","Qui dai morti la poesia si alzi,"
"su per la riva; e io pari di lei,","O Muse sacre, da quando sono vostra."
picciol passo con picciol seguitando.,Lasciate che Calliope si alzi.
"Non eran cento tra ' suoi passi e ' miei,",per accompagnare la mia canzone con quegli stessi accordi
"quando le ripe igualmente dier volta,",la cui forza colpì così le miserabili magpie
per modo ch'a levante mi rendei.,"che, ascoltando, hanno perso ogni speranza di perdono."
"Né ancor fu così nostra via molta,","Colore dolce dello zaffiro orientale,"
"quando la donna tutta a me si torse,",aleggiando nell'aspetto calmo e tranquillo
"dicendo: “Frate mio, guarda e ascolta”.","d'aria intervenente, pura all'orizzonte,"
Ed ecco un lustro sùbito trascorse,mi sono compiaciuto ancora una volta dei miei occhi
"da tutte parti per la gran foresta,",non appena ho lasciato l'aria morbosa
tal che di balenar mi mise in forse.,che aveva afflitto sia il mio petto che gli occhi.
"Ma perché 'l balenar, come vien, resta,","Il pianeta giusto che incoraggia l'amore,"
"e quel, durando, più e più splendeva,","sorridente, illuminato a est,"
nel mio pensier dicea: 'Che cosa è questa?'.,velando i pesci nel suo treno.
E una melodia dolce correva,"Mi voltai a destra e, fissando la mia attenzione"
per l'aere luminoso; onde buon zelo,"sull'altro polo, ho visto quattro stelle"
"mi fé riprender l'ardimento d'Eva,","non visti, ma dai primi sulla terra."
"che là dove ubidia la terra e 'l cielo,",Il cielo stesso sembrava gioire
"femmina, sola e pur testé formata,",nel loro splendente luccichio. O vedova
non sofferse di star sotto alcun velo;,"regione del nord, negata quella vista!"
"sotto 'l qual se divota fosse stata,","Una volta che ho attirato il mio sguardo da loro,"
avrei quelle ineffabili delizie,girare a malapena verso l'altro polo
sentite prima e più lunga fïata.,"dove era posta la costellazione del fiume,"
Mentr'io m'andava tra tante primizie,"Ho visto accanto a me un vecchio, da solo,"
"de l'etterno piacer tutto sospeso,",che dal suo aspetto era così meritevole di rispetto
"e disïoso ancora a più letizie,",che nessun figlio deve di più a suo padre.
"dinanzi a noi, tal quale un foco acceso,","La sua barba era lunga e striata di bianco,"
ci si fé l'aere sotto i verdi rami;,"come i suoi capelli, che cadde"
e 'l dolce suon per canti era già inteso.,in doppi fili fino al petto.
"O sacrosante Vergini, se fami,",I raggi di quelle quattro stelle sante
"freddi o vigilie mai per voi soffersi,",adornava il suo viso con tanta luce
cagion mi sprona ch'io mercé vi chiami.,Sembrava splendere con la luminosità del sole.
"Or convien che Elicona per me versi,","Quali anime sei tu per essere fuggito dall'eterna prigione,"
e Uranìe m'aiuti col suo coro,arrampicarsi contro il ruscello oscuro e nascosto?
forti cose a pensar mettere in versi.,"chiese, scuotendo quelle venerate serrature."
"Poco più oltre, sette alberi d'oro",'Chi era la tua guida o chi la tua lanterna
falsava nel parere il lungo tratto,per condurvi fuori da quella notte profonda
del mezzo ch'era ancor tra noi e loro;,quale ripida la valle dell'Inferno nelle tenebre?
"ma quand'i' fui sì presso di lor fatto,","Le leggi dell'abisso sono così infrante,"
"che l'obietto comun, che 'l senso inganna,","o è stato fatto un nuovo decreto in cielo,"
"non perdea per distanza alcun suo atto,","che, dannazione, stai davanti alle mie scogliere?"""
"la virtù ch'a ragion discorso ammanna,",Il mio capo mi ha poi contattato.
"sì com'elli eran candelabri apprese,",e con le sue parole e segni e con le sue mani
e ne le voci del cantare 'Osanna'.,"mi ha fatto mostrare riverenza con il ginocchio e la fronte,"
Di sopra fiammeggiava il bello arnese,"Allora gli rispose: ""Non sono venuto da solo."
più chiaro assai che luna per sereno,Una donna discesa dal Cielo e su sua richiesta
di mezza notte nel suo mezzo mese.,Ho prestato a quest'uomo compagnia e aiuto.
Io mi rivolsi d'ammirazion pieno,Ma siccome è la tua volontà che dico chiaramente
"al buon Virgilio, ed esso mi rispuose","la vera condizione della nostra presenza qui,"
con vista carca di stupor non meno.,Non puo' essere che io neghi il tuo desiderio.
Indi rendei l'aspetto a l'alte cose,"Quest'uomo non ha ancora visto il suo ultimo tramonto,"
"che si movieno incontr'a noi sì tardi,",ma attraverso la sua follia era così vicino ad esso
che foran vinte da novelle spose.,Il suo tempo era quasi finito.
La donna mi sgridò: “Perché pur ardi,"- Gli fui mandato, come ho detto,"
"sì ne l'affetto de le vive luci,",per la sua liberazione.
e ciò che vien di retro a lor non guardi?”.,Ma questo poteva essere salvato.
"Genti vid'io allor, come a lor duci,",Gli ho mostrato tutta la razza colpevole.
"venire appresso, vestite di bianco;",e ora intende fargli vedere quegli spiriti
e tal candor di qua già mai non fuci.,che si purificano sotto la tua responsabilità.
"L'acqua imprendëa dal sinistro fianco,",Come l'ho condotto ci metterei molto a dirlo.
"e rendea me la mia sinistra costa,",Scendendo dall'alto un potere mi aiuta
"s'io riguardava in lei, come specchio anco.","per portarlo qui, perché possa vederti e sentirti."
"Quand'io da la mia riva ebbi tal posta,","Che possiate dare il benvenuto al suo arrivo,"
"che solo il fiume mi facea distante,","dal momento che è in cerca di libertà, che è così caro,"
"per veder meglio ai passi diedi sosta,",come ben sa chi dona la sua vita per essa.
"e vidi le fiammelle andar davante,","Lo sai bene, dalla morte a Utica."
"lasciando dietro a sé l'aere dipinto,","non sembrava amaro, là dove te ne sei andato"
e di tratti pennelli avean sembiante;,l'abito che splenderà in quel grande giorno.
sì che lì sopra rimanea distinto,"'Non da noi sono gli eterni editti rotti,"
"di sette liste, tutte in quei colori","perché quest'uomo vive e Minos non mi lega,"
onde fa l'arco il Sole e Delia il cinto.,ma io sono del cerchio dove la tua Marcia
Questi ostendali in dietro eran maggiori,"'Implora con i suoi occhi casti, o santo seno,"
"che la mia vista; e, quanto a mio avviso,",che pensi ancora a lei come a te.
diece passi distavan quei di fori.,"Per amore di lei, allora, ti supplico,"
"Sotto così bel ciel com'io diviso,",Permettici di passare attraverso i tuoi sette regni.
