Original,Translate_EN,Translate_IT_1
"Quando ’l castello fu così inbrasciato,",When the castle was thus reduced to ashes,Quando il castello fu ridotto in cenere
"E che•lle guardie fur fugite via,","and the guards had run away,","e le guardie erano fuggite,"
"Alor sì v’entrò entro Cortesia,",Lady Courtesy went inside,Lady Courtesy e' entrata.
Per la figluola trar di quello stato;,to free her daughter from that state.,per liberare sua figlia da quello stato.
"E Franchez’, e Pietà da l’altro lato",And on each side Sincerity and Mercy,E da ogni lato sincerità e misericordia
Si andaron co•llei in conpagnia.,accompanied her.,L'ha accompagnata.
"Cortesia   sì•lle disse: «Figlia mia,","Lady Courtesy said to her: “My daughter,",Lady Courtesy le disse:
"Molt’ò avuto di te il cuor crucciato,","my heart has been in such pain for you,","il mio cuore ha sofferto tanto per te,"
Ché stata sè gran tenpo inpregionata.,for you were imprisoned such a long time.,Perche' sei stato imprigionato cosi' a lungo.
"La Gielosia   agi’or mala ventura,","May Jealousy now have a terrible fate,","Possa la gelosia avere un destino terribile,"
Quando tenuta t’à tanto serrata.,since she kept you imprisoned for so long.,Da quando ti ha tenuto imprigionato per cosi' tanto tempo.
"Lo Schifo, e Vergogna, con Paura",Resistance and Modesty with Fear,Resistenza e modestà con la paura
"Se son fugiti, e la gol’à tagliata","have fled, and Ser Bad Mouth","sono fuggiti, e Ser Bad Mouth"
"Ser Mala-Bocca, per sua disaventura.",has his throat cut to his misfortune.”,ha la gola tagliata alla sua sfortuna.
