Original,Translate_EN,Translate_IT_1
"Sì prendo poi, per seguir mia conpagna,","“Thus, in order to accompany my lady-friend,","Così, per accompagnare la mia amica,"
"Cioè madona Costretta-Astinenza,","whose name is Forced Abstinence,","il cui nome è Astinenza Forzata,"
"Altri dighisamenti a sua voglenza,","I assume other disguises at her wish,","Presumo che altri travestimenti per il suo desiderio,"
"Perch’ella mi sollaza, e m’aconpagna;",because she gives me pleasure and companionship.,perché mi dà piacere e compagnia.
E metto pena perch’ella rimagnia,And I make an effort for her to stay,E io faccio uno sforzo per lei di rimanere
"Comeco, perch’ell’è di gran sofrenza,","with me, because she’s very tolerant","con me, perché lei è molto tollerante"
"E s’amostra a•ttal gran benvoglienza,",and knows how to show great compassion,e sa mostrare grande compassione
Ch’ella vorebe che fosse in Ispagnia.,toward someone whom she would want to be in Spain.,verso qualcuno che vorrebbe essere in Spagna.
"Ella si fa pinzochera, e badessa,","She becomes a mendicant and an abbess,","Diventa una mendicante e una badessa,"
"E monaca, e rinchiusa, e serviziale,","a nun – regular, cloistered and lay –","una monaca regolare, claustrale e laica"
"E fassi sopriora, e prioressa.",and she becomes a vice-prioress and prioress.,e diventa una vice-prioritaria e una priora.
Idio sa ben sed ell’è spiritale!,Only God knows if she is truly spiritual!,Solo Dio sa se è veramente spirituale!
"Altr’or si fa noviza, altr’or professa,","Sometimes she becomes a novice, sometimes a professed nun;","A volte diventa una novizia, a volte una suora professata;"
"Ma, che che faccia, non pensa c’a male.","but, no matter what she does, she only thinks of doing evil.”","ma, non importa quello che fa, pensa solo di fare il male."
