Original,Translate_EN,Translate_IT_1
"Quand’i’ vidi lo Schifo sì adolzito,","When I saw how Resistance was mollified,","Quando ho visto come la Resistenza era mollificata,"
"Che solev’esser più amar che fele,",he who usually was more bitter than gall,che di solito era più amaro di Gallo
"Ed i’ ’l trova’ vie più dolcie che mele,","but whom I found much sweeter than honey,","ma che ho trovato molto più dolce del miele,"
Sapiate ch’i’ mi tenni per guerito.,you should know that I considered myself as good as healed.,Dovresti sapere che mi consideravo guarita.
Nel giardin me n’andai molto gichito,I passed into the garden in very subdued state,Sono passato nel giardino in stato molto sottomesso
"Per dotta di misfar a quel crudele,","for fear of offending that cruel one,","per paura di offendere quel crudele,"
E gli giurai a le sante,and I swore to him on the holy gospels,e gli ho giurato sui santi Vangeli
Ch’e’ per me non sarebe mai marrito.,"that, because of me, he would never be distressed.","che, a causa mia, non sarebbe mai stato angosciato."
Allor mi disse: «I’ vo’ ben che•ttu venghi,Then he said to me: “I truly want you to come,"Poi mi disse: ""Voglio davvero che tu venga."""
"Dentr’al giardin[o], sì com’e’ ti piace,","inside the garden, since you find it pleasant,","all'interno del giardino, siccome lo trovate piacevole,"
Ma’ che lungi dal Fior le tue man tenghi.,provided you keep your hands far away from the Flower.,a patto che tu tenga le mani lontane dal Fiore.
Le buone donne fatt’ànno far pacie,The good women have established peace,Le buone donne hanno stabilito la pace
"Tra me e te: or fa che•lla mantenghi,","between me and you: now make sure you keep it,","tra me e te: ora assicurati di tenerlo,"
Sì che verso di me non sie fallacie».,so that you do not betray my trust.”,in modo da non tradire la mia fiducia.
