Original,Translate_EN,Translate_IT_1
"I’ sì vo per lo mondo predicando,",“And so I go through the world preaching,E così vado attraverso la predicazione del mondo
E dimostrando   di far vita honesta.,and giving the appearance of leading an honest life;,e dare l'aspetto di condurre una vita onesta;
"Ognie mi’ fatto sì vo’ far a sesta,","everything I do, I want to do perfectly,","Tutto quello che faccio, voglio fare alla perfezione,"
E gli altrui penso andar aviluppando.,and I try to screw up what others are doing.,E cerco di incasinare quello che fanno gli altri.
"Ma chi venisse il fatto riguardando,","But whoever would look at this matter,",Ma chiunque guarderebbe a questo problema...
"Ed egli avesse alquanto sale in testa,","if he had enough salt in his brain,","se avesse abbastanza sale nel cervello,"
"Veder potrebe in che ’l fatto si ne-sta,","should be able to see things the way they are,","dovrebbe essere in grado di vedere le cose come sono,"
"Ma no ’l consigliere’ andarne parlando,",but I would not advise him to go around talking about it.,ma non gli consiglio di andare in giro a parlarne.
"Ché que’, che dicie cosa, che mi spiaccia,",For the one who says things that displease either me,Per chi dice cose che non mi piacciono.
"O vero a que’, che seguor mi’ penone,","or those who follow my banner,","o coloro che seguono il mio vessillo,"
"E’ convien  ch’e’•ssia morto, o messo in caccia,","must either be killed or exiled,","devono essere uccisi o esiliati,"
"Sanza trovar in noi mai ridenzione,","without ever gaining our forgiveness,","senza mai ottenere il nostro perdono,"
"Né per merzé né per cosa, ch’e’ faccia.",either through grace or through his actions:,per grazia o per le sue azioni:
E’ pur convien ch’e’ vada a distruzione».,he must certainly go to his destruction.”,deve certamente andare alla sua distruzione.
