Original,Translate_IT_1
"Partendomi da questa disgressione che mestiere è stata a vedere la veritade, ritorno al proposito e dico che, sì come li nostri occhi «chiamano», cioè giudicano, la stella talora altrimenti che sia la vera sua condizione, così quella ballatetta considerò questa donna secondo l'apparenza, discordante dal vero per infertade dell'anima, che di troppo disio era passionata. E ciò manifesto quando dico: ché l'anima temea, sì che fiero mi parea ciò che vedea nella sua presenza.","Terminata questa digressione, che era necessaria per far emergere la verità, torno al tema principale. Dichiaro che proprio come i nostri occhi ""chiamano,"" cioè, giudice, la stella ad essere diversa da essa in realtà, in modo che la piccola ballata descrisse questa donna come apparve, contrastando così con la verità, a causa di una malattia dell'anima che era appassionata da un eccessivo desiderio."
"Dove è da sapere che quanto l'agente più al paziente sé unisce, tanto e più forte è però la passione, sì come per la sentenza del Filosofo in quello Di Generazione si può comprendere; onde, quanto la cosa desiderata più appropinqua al desiderante, tanto lo desiderio è maggiore, e l'anima, più passionata, più sé unisce alla parte concupiscibile e più abandona la ragione. Sì che allora non giudica come uomo la persona, ma quasi come altro animale, pur secondo l'apparenza, non discernendo la veritade.","Lo dico quando dico: perché l'anima era timorosa, così che quando la signora era presente l'impressione che avevo di lei era una di durezza. Qui si deve spiegare che più l'agente si unisce con ciò che è passivo alla sua influenza maggiore è la passione risultante, come emerge dalla visione espressa dal filosofo nel suo lavoro On Generation. E così più la cosa desiderata si avvicina a chi desidera, più forte diventa la passione, e più l'anima, essendo diventata più appassionata, si identifica con la parte emotiva e più abbandona completamente la ragione. Di conseguenza, quando ciò accade la persona non giudica come un essere umano ma piuttosto come qualsiasi altro animale, secondo l'apparenza, senza discernere la verità."
"E questo è quello per che lo sembiante, onesto secondo lo vero, ne pare 'disdegnoso e fero'; e secondo questo cotale sensuale giudicio parlò quella ballatetta. E in ciò s'intende assai che questa canzone considera questa donna secondo la veritade, per la discordanza che ha con quella.","Ecco perché il suo atteggiamento, pur essendo di fatto cortese, ci sembra disdegnoso e duro; è stato secondo un sensuale giudizio di questo tipo che quella piccola ballata parlava. Così è perfettamente chiaro che questa canzone descrive questa signora secondo la verità, poiché il suo racconto è in conflitto con quello dell'altra poesia."
"E non sanza cagione dico: «là 'v'ella mi senta», e non 'là dov'io la senta'; ma in ciò voglio dare a intendere la grande virtù che li suoi occhi aveano sopra me: ché, come se [io] fosse stato [vetro], così per ogni lato mi passava lo raggio loro. E qui si potrebbero ragioni naturali e sovranaturali assegnare; ma basti qui tanto avere detto: altrove ragionerò più convenevolemente.","Non è senza buona causa che dico quando questa signora mi percepisce, piuttosto che quando percepisco questa signora: con questa frase desidero trasmettere il grande potere che i suoi occhi avevano su di me, perché i loro raggi passavano attraverso di me da tutti i lati, come se fossi qualcosa di diafano. Motivi naturali e soprannaturali potrebbero essere indotti a spiegare questo; ma qui lasciamo che sia sufficiente per dire questo tanto mi occuperò dell'argomento più tardi ad un punto più appropriato."
"Poi quando dico: Così ti scusa, se ti fa mestero, impongo alla canzone come per le ragioni assegnate 'sé iscusi là dove è mestiero', cioè là dove alcuno dubitasse di questa contrarietade: che non è altro a dire se non che qualunque dubitasse in ciò, che questa canzone da quella ballatetta si discorda, miri in questa ragione che detta è.","Quando continuo: Scusatevi in questo modo, in caso di necessità, istruisco il canzone come, per le ragioni date, ""si dovrebbe scusare quando c'è bisogno di farlo,"" cioè quando qualcuno è perplesso da questa discrepanza. Questo è tanto quanto dire: se qualcuno è perplesso dal fatto che questa canzone è in conflitto con quella piccola ballata, lasciategli considerare la spiegazione appena data."
"E questa cotale figura in rettorica è molto laudabile, e anco necessaria, cioè quando le parole sono a una persona e la 'ntenzione è a un'altra; però che l'amonire [lo vizioso] è sempre necessario e laudabile, e non sempre sta convenevolemente nella bocca di ciascuno.","È altamente lodevole, e anzi necessario usare questa figura del discorso, in cui le parole sono dirette ad una persona e la loro intenzione ad un'altra, perché mentre l'ammonimento è sempre lodevole e necessario non è sempre opportuno che sia pronunciato da chiunque."
"Onde, quando lo figlio è conoscente del vizio del padre, e quando lo suddito è conoscente del vizio del segnore, e quando l'amico conosce che vergogna crescerebbe al suo amico quello amonendo o menomerebbe suo onore, o conosce l'amico suo non paziente ma iracundo all'amonizione, questa figura è bellissima e utilissima, e puotesi chiamare 'dissimulazione'.","Quindi, quando un figlio è consapevole di una colpa in suo padre, o quando un soggetto è consapevole di una colpa in suo signore, o quando una persona sa che per ammonire un amico sarebbe aumentare la sua vergogna o diminuire il suo onore, o quando sa che il suo amico non è ricettivo all'ammonimento, ma è irritato da esso, questa è una figura molto graziosa e utile, a cui possiamo dare il nome di dissimulazione."
"Ed è simigliante all'opera di quello, savio guerrero che combatte lo castello da uno lato per levare la difesa dall'altro, che non vanno ad una parte la 'ntenzione dell'aiutorio e la battaglia.","La sua strategia è simile a quella di un saggio soldato che attacca un castello da una parte per tirare fuori le difese dall'altra, perché l'intenzione di portare aiuto e l'assalto non sono diretti dalla stessa parte."
"E impongo anche a costei che domandi a questa donna parola di parlare di lei. Dove si puote intendere che l'uomo non dee essere presuntuoso a lodare altrui, non ponendo bene prima mente s'elli è piacere della persona laudata; per che molte volte, credendosi alcuno dare loda, sì dà biasimo, o per difetto dello dicitore o per difetto di quello che ode. Onde molta discrezione in ciò avere si conviene; la qual discrezione è quasi uno domandare licenza, per lo modo ch'io dico che domandi questa canzone.","Ho anche bisogno della canzone che chiede di lasciare questa signora per parlare di lei. Qui implica che non si dovrebbe presumere di lodare qualcuno senza prima pensare se farlo porterà piacere a colui che è lodato, perché capita spesso che una persona che crede che egli sta dando lode a qualcuno sta effettivamente portando lui in discredito, sia per colpa dell'oratore o quella dell'ascoltatore."
"E così termina tutta la litterale sentenza di questo trattato; per che l'ordine dell'opera domanda all'allegorica esposizione omai, seguendo la veritade, procedere.","Quindi in questo caso è necessaria una grande discrezione: tale discrezione assume la forma di chiedere il permesso, nel modo in cui dico che questo canzone dovrebbe fare. Questo porta a termine l'intero resoconto del significato letterale di questo trattato. E così il piano di questo lavoro richiede che io proceda ora all'esposizione allegorica, in cui la verità sarà resa chiara."
