Original,Translate_EN,Translate_IT_1
"Ancor convien che•ttu saccia ’lcun’arte,",“Still it’s better that you know some rules,Ancora meglio che conoscete alcune regole
Per ghovernar e te e la tu’ amica:,in order to govern both yourself and your friend:,per governare te stesso e il tuo amico:
"Di buon’ morselli tuttor la mi notrica,","nourish her with tender morsels,","nutritela di bocconi teneri,"
E dàlle tuttavia la miglior parte.,and always give her the best part.,e darle sempre la parte migliore.
"E s’ella vuol andar i•nulla parte,","And if she wants to go somewhere,","E se vuole andare da qualche parte,"
"Sì•lle dì: “Va, che Dio ti benedica!”.","tell her: ‘Go, and may God bless you.’","dille: Andate, e che Dio vi benedica."
In gastigarla non durar fatica,"Don’t waste your time in reprimanding her,","Non sprecare il tuo tempo nel rimproverarla,"
Se dal su’ amor non vuo’ tagliar le carte.,unless you want to end the relationship.,A meno che tu non voglia porre fine alla relazione.
"E se•lla truovi l’opera facciendo,","And if you discover her making love,",E se scoprirai che fa l'amore...
Non far senbiante d’averla veduta:,"don’t let on that you saw her,","non lasciare che l'hai vista,"
In altra parte   te ne va fugiendo;,and go off somewhere else.,e andare da un'altra parte.
"E se•lle fosse lettera venuta,","And if she were to receive a love letter,","E se dovesse ricevere una lettera d'amore,"
Non t’intrametter d’andar inchegiendo,don’t bother to go ask her,Don't si preoccupa di andare a chiederglielo
"Chi•ll’à recata, né chi la saluta.",who brought it or who is sending her greetings.”,che lo ha portato o che sta inviando i suoi saluti.
