Original,Translate_IT
La sete natural che mai non sazia,"La sete che la natura ha dato,"
se non con l'acqua onde la femminetta,Che solo l'acqua sazia per la sua grazia
"samaritana domandò la grazia,",La Samaritana chiese al Salvatore:
"mi travagliava, e pungeami la fretta",Mi ha mangiato e su sentieri stretti
"per la 'mpacciata via dietro al mio duca,","Fai in fretta a seguirmi con il Fuhrer,"
e condoleami a la giusta vendetta.,E' un peccato che la colpa ci infligga tanta sofferenza.
"Ed ecco, sì come ne scrive Luca","E guarda come il cliente Luca ci ha dato,"
"che Cristo apparve a' due ch'erano in via,","Che Cristo fosse in mezzo a due,"
"già surto fuor de la sepulcral buca,","Risuscitato dalla volta della tomba, apparve;"
"ci apparve un'ombra, e dietro a noi venìa,","Se un'ombra ci ombreggia dietro di noi, le schiere,"
dal piè guardando la turba che giace;,"Là disteso, guardando, se n'è andato"
"né ci addemmo di lei, sì parlò pria,","E, parlando, non si lasciava prima confessare da noi."
"dicendo: “O frati miei, Dio vi dea pace”.","""Dio vi dia pace, fratelli!"" era la sua parola,"
"Noi ci volgemmo sùbiti, e Virgilio",Che all'improvviso si rivolse a lui e a noi;
rendéli 'l cenno ch'a ciò si conface.,"E grazie a Dio, la mia fedelta'..."
Poi cominciò: “Nel beato concilio,"E disse: ""A quelli che il Signore ha trasfigurato,"
ti ponga in pace la verace corte,"Ti trasferirà a quel coro,"
che me rilega ne l'etterno essilio”.,"Mi ha negato la pace per sempre."""
"“Come!”, diss'elli, e parte andavam forte:","E lui disse: ""Se Dio non vi creda,"
"“se voi siete ombre che Dio sù non degni,",(Ma non ha esitato a partire)
chi v' ha per la sua scala tanto scorte?”.,"""Chi vi guida la cavalcata sana?"""
E 'l dottor mio: “Se tu riguardi a' segni,"Virgil dice: ""Guarda i segni qui,"
"che questi porta e che l'angel profila,","che sono impressionati dall'angelo,"
ben vedrai che coi buon convien ch'e' regni.,"E che egli è scelto, vedrai."
Ma perché lei che dì e notte fila,Solo perche' lei e' incessantemente pazza...
non li avea tratta ancora la conocchia,"Non gli hai ancora sparato il culo,"
"che Cloto impone a ciascuno e compila,","Quando inizia un essere, il Klotho si mette in moto."
"l'anima sua, ch'è tua e mia serocchia,","Se, da solo, non avesse mai vinto l'altezza,"
"venendo sù, non potea venir sola,","Perche' la sua anima, sorella, tu e io..."
però ch'al nostro modo non adocchia.,Non abbiamo ancora cominciato a cercare il nostro modo.
Ond'io fui tratto fuor de l'ampia gola,E' per questo che sono uscito dall'inferno.
"d'inferno per mostrarli, e mosterrolli","E la mia scuola gli ha insegnato e gli ha insegnato tutto,"
"oltre, quanto 'l potrà menar mia scola.",Quello che possono concedere è la curiosità.
"Ma dimmi, se tu sai, perché tai crolli","Ma di': ""Cosa c'è che non va?"
