Original,Translate_IT
"O Simon mago, o miseri seguaci","O tu, Simone il Mago, e tu, i suoi miserabili"
"che le cose di Dio, che di bontate","discepoli, che contaminate, con la vostra avarizia,"
"deon essere spose, e voi rapaci","per l'oro e per l'argento, il che, essendo solo a Dio,"
"per oro e per argento avolterate,","dovrebbe essere accompagnato solo da virtù,"
"or convien che per voi suoni la tromba,","è per voi ora che suona la tromba,"
però che ne la terza bolgia state.,visto che vi hanno alloggiato nella terza fossa!
"Già eravamo, a la seguente tomba,","Siamo appena passati alla tomba successiva,"
montati de lo scoglio in quella parte,Eravamo in quel punto del ponte.
ch'a punto sovra mezzo 'l fosso piomba.,Da dove si vede sotto i piedi il centro della fossa.
"O somma sapïenza, quanta è l'arte","Che il tuo ordine è perfetto, sovrana Sapienza,"
"che mostri in cielo, in terra e nel mal mondo,","in cielo, sulla terra e nel mondo malvagio."
e quanto giusto tua virtù comparte!,Che il tuo divino decreto sappia fare bene le cose!
Io vidi per le coste e per lo fondo,Vidi la roccia grigia che copriva i pendii
"piena la pietra livida di fóri,","e il fondo della valle, tutto perforato di fori"
d'un largo tutti e ciascun era tondo.,della stessa grandezza e perfettamente rotondi.
Non mi parean men ampi né maggiori,Non mi sembravano più grandi o più profondi.
"che que' che son nel mio bel San Giovanni,",quelli che si possono vedere nel mio bel San Giovanni
fatti per loco d'i battezzatori;,e che servono da fonte per dare il battesimo:
"l'un de li quali, ancor non è molt'anni,","un giorno, avevo rotto io stesso uno di questi fatti,"
rupp'io per un che dentro v'annegava:,Salvare un bambino che sarebbe annegato
e questo sia suggel ch'ogn'omo sganni.,e che questo deturpa chi lo pensa diversamente!
Fuor de la bocca a ciascun soperchiava,Attraverso la bocca dei buchi si vedeva superare
d'un peccator li piedi e de le gambe,"le gambe di un peccatore fino al grasso del polpaccio,"
"infino al grosso, e l'altro dentro stava.",Il resto del corpo era immerso dentro.
Le piante erano a tutti accese intrambe;,"Le piante dei due piedi di ciascuno di loro bruciavano,"
"per che sì forte guizzavan le giunte,",che li obbligava a torcere le loro giunture
