Original,Translate_EN,Translate_IT_1
"Pietà cominciò poi su’ parlamento,",Mercy then began her speech,Misericordia poi ha iniziato il suo discorso
"Con lagrime bagniando il su’ visagio,","with tears streaming down her face,","con lacrime che le scendono in faccia,"
"Diciendo: «Schifo, tu faresti oltragio","saying: “Resistance, you would commit a great offence","dicendo: Resistenza, si sarebbe commettere un grande reato"
Di non far grazia al meo domandamento.,if you were not to grant my request.,se non accettassi la mia richiesta.
Pregar ti fo che•tti si’a piacimento,I beg you that you may find it in your heart,Ti supplico che tu possa trovarlo nel tuo cuore.
"Ch’a quel valletto, ch’è•ssì buon e saggio,","to not be so cruel toward that young vassal,","di non essere così crudele verso quel giovane vassallo,"
"Tu non sie verso lui così salvaggio,","who is so good and wise,","che è così buono e saggio,"
Ché sai ch’e’ non à mal intendimento.,for you know that he does not have bad intentions.,Perche' sai che non ha cattive intenzioni.
"Or avén detto tutto nostr’affare,","Now, we have told you our concerns,","Ora, vi abbiamo detto le nostre preoccupazioni,"
"E la cagion, per che no’ siàn venute.",and the reason why we have come:,e il motivo per cui siamo venuti:
Molt’è crudel chi per noi non vuol fare!,cruel is he who will not do what we ask!,crudele è colui che non farà quello che chiediamo!
Ancor ti manda molte di salute,The poor fellow whom you delighted in abandoning,Il povero compagno che hai diletto nell'abbandonare
"Il lasso, chu’ ti piaque abandonare.",sends you many greetings:,vi manda molti saluti:
Fa che nostre preghiere gli sian valute!».,may our prayers help him in this time of need!”,che le nostre preghiere lo aiutino in questo tempo di bisogno!
