Original,Translate_EN,Translate_IT_1
"Castità, che da Veno è guereggiata,","Chastity, against whom Venus wages war,","Castità, contro la quale Venere fa la guerra,"
"Sì disse a Gielosia: «Per Dio, merzede!","said thus to Jealousy: “In the name of God, have mercy!","Disse così alla gelosia: ""Nel nome di Dio, abbi pietà!"
"S’a questo fatto l’uon non ci provede,","If one does not attend to this matter,","Se uno non si occupa di questo problema,"
I’ potre’ ben tosto esere adontata.,I could soon suffer shame.,Potrei presto soffrire di vergogna.
"Vergognia e Paura m’ànno abandonata,",Modesty and Fear have abandoned me;,Modestà e paura mi hanno abbandonato;
"In quello Schifo foll’è chi si crede,","foolish is the one who trusts in that Resistance,","sciocco è colui che confida in quella Resistenza,"
Ch’i’ son ciertana   ch’e’ non ama a fede,"for I am certain that he does not love faithfully,","perché sono certo che non ama fedelmente,"
Po’ del giardin sì mal guardò l’entrata.,since he guarded the entrance of the garden so badly.,da quando ha guardato l'ingresso del giardino così male.
"Onde vo’ siete  la miglior guardiana,","As a result, you are the best guardian that","Di conseguenza, tu sei il miglior tutore che"
Ch’i’ ’n esto mondo potese trovare:,I could ever find in this world.,Potrei mai trovare in questo mondo.
Gran luogo avete in  Lonbardia e ’n Toschana.,You are well known in Lombardy and Tuscany.,Siete ben noti in Lombardia e in Toscana.
"Per Dio, ched e’ vi piaccia il Fior guardare,","In the name of God, please guard the Flower!","In nome di Dio, per favore custodite il Fiore!"
"Ché, se que’, che ’l basciò, punto lo sgrana,","If the man who kissed the Flower should despoil it even slightly,","Se l'uomo che ha baciato il Fiore dovesse spogliarlo anche leggermente,"
"Non fia misfatto, ch’uon poss’amendare».",such a great misdeed can never be remedied.”,un tale grande misdeed non può mai essere rimediato.
