Original,Translate_EN,Translate_IT_1
Bellacoglienza la parola prese,Fair Welcome began to speak,Fair Welcome ha cominciato a parlare
"E sì rispuose, come ben parlante:",and answered with well-chosen words:,e rispose con parole ben scelte:
"«Gientil madonna, i’ vi fo grazie mante","“My noble Lady, I thank you very much","Mia nobile signora, vi ringrazio molto"
Che di vostr’arte mi siete cortese;,for having been generous to me with your art;,per esser stato generoso con me con la tua arte;
"Ma ’l fatto de l’amor no•m’è palese,","but the facts of love are not clear to me,","ma i fatti dell'amore non mi sono chiari,"
Se non se in parole trapassante.,because I know them only through fleeting words.,perché li conosco solo con parole fugaci.
Ched i’ sia   di danar ben procacciante?,Why should I be an avid procurer of money?,Perche' dovrei essere un'avida procuratrice di soldi?
"I’ n’ò assai, per farne belle spese.",I have enough to make some nice purchases.,Ne ho abbastanza per fare dei bei acquisti.
"D’avere in me maniera bella e giente,",It’s toward acquiring noble and charming ways for myself,Si affaccia verso l'acquisizione di modi nobili e affascinanti per me stesso
"A•cciò vogl’i’ ben metter mia balia,","that I wish to apply my powers,","che voglio applicare i miei poteri,"
In tal maniera che•ssia   sofficiente.,so that I may be well-supplied.,affinché io possa essere ben fornito.
"Se voi mi parlate di malia,",When you say to me that magic powers,Quando mi dici che poteri magici
"Ch’ella non può tornar già cuor di gente,","cannot change the hearts of people,","non possono cambiare il cuore delle persone,"
"Creda ’l chi vuole, ch’i’ la teng’a•ffollia.","let anyone believe it who so desires, but I consider it to be folly!”","Lasciate che qualcuno ci creda chi lo desidera, ma io lo considero una follia!"
