Original,Translate_EN,Translate_IT_1
Ancor gli dica   un’altra de l’ostello:,"“Moreover, let another woman of the house say to him:","Inoltre, un'altra donna di casa gli dica:"
“Se madonna volesse far follagio,‘If my lady would want to commit an act of folly,Se la mia signora volesse commettere un atto di follia
"Con un belissim’uon di gran paragio,","with a handsome man of good lineage,","con un bell'uomo di buona stirpe,"
"Il fatto suo sarebe ben e bello,","her situation would be fine and dandy,","la sua situazione sarebbe a posto e dandy,"
E sì sarebe donna d’un castello;,and thus she would be the lady of a castle;,e così sarebbe stata la signora di un castello;
"Ma ’nverso voi à sì leal coragio,",but towards you she has such a loyal heart,ma verso di te ha un cuore così fedele
Ch’ella non prenderebe nul vantagio,"that she would not take any personal profit,","che non avrebbe preso alcun profitto personale,"
Di che doman vo’ foste su’ ribello”.,on account of which you would be her enemy tomorrow.’,a causa della quale tu saresti suo nemico domani.
"Allor la donna, come ch’e’ le piaccia","Then let the lady, although she may like","Allora lasci che la signora, anche se potrebbe piacerle"
"Udir quelle parole, sì lor dica","to hear those words, say to them","per ascoltare quelle parole, dire loro"
E comandi che ciascuna si taccia;,and command each of them to be silent;,e ordina a ciascuno di stare in silenzio;
"E puote dir: “Se Dio mi benedica,","she can say: ‘May God bless me,","Lei può dire: Dio mi benedica,"
"Tropp’ò del su’, quand’i’ l’ò tra•lle braccia”;",I already have so much of him when I have him in my arms’;,Ho gia' cosi' tanto di lui quando l'ho tra le mie braccia.
E faccia   gli sott’al mantel la fica.,and let her give him the finger under her cape.”,e lasci che gli dia il dito sotto il suo mantello.
