Original,Translate_EN,Translate_IT_1
Sì com’i’ stava in far mia pregheria,While I was pleading my case,Mentre supplicavo il mio caso
"A quel fellon, ch’è sì pien d’arditeza,","to that cruel one who is so rash,","a quel crudele che è così avventato,"
"Lo Dio d’Amor sì vi man[dò] Francheza,",the God of Love sent Sincerity and with her Mercy,il Dio dell'Amore ha mandato sincerità e con la sua Misericordia
"Co•llei Pietà, per sua anbascieria.",on a special mission to that place.,in una missione speciale in quel posto.
"Francheza   cominciò la dicieria,","Sincerity began her speech,","La sincerità ha iniziato il suo discorso,"
"E disse: «Schifo, tu•ffai straneza","saying: “Resistance, you are most unkind","dicendo: Resistenza, sei più scortese"
"A quel valletto, ch’è pien di largheza,",to that young vassal who is so generous,a quel giovane vassallo così generoso
"E prode, e franco, sanza villania.","and valiant and brave, and certainly not vulgar.","e valoroso e coraggioso, e certamente non volgare."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,The God of Love wants to let you know,Il Dio dell'Amore vuole farti sapere
"Che•ttu non sie sì strano al su’ sergiente,","that you should not be so unkind to his servant,","per non essere così scortese con il suo servo,"
"Ché gran peccato fa, chi lui inpaccia;",because whoever hinders him commits a great sin;,"perché chi lo ostacola commette un grande peccato,"
Ma sòffera ch’e’ vada arditamente,but allow him to go freely,ma lascialo andare liberamente
"Per lo giardino, e no ’l metter in chaccia,",into the garden – don’t chase him out! -,nel giardino Don't cacciarlo fuori! -
"E guardi il Fior, che•ssì gli par aolente».",and let him gaze upon the Flower that seems to him so fragrant.”,e lo lasci guardare il fiore che gli sembra così fragrante.
