Original,Translate_EN,Translate_IT_1
"Le giovane, e le vechie, e le mezane","“All women - young, old, middle-aged -","Tutte le donne - giovani, anziani, di mezza età -"
"Son tutte quante a prender sì ’ncarnate,",are so naturally disposed to taking,sono così naturalmente disposti a prendere
Che nessun puote aver di lor derate,that no one can have their wares,che nessuno può avere la propria merce
"Per cortesia, tanto son villane,","for free, so uncourtly are they:","gratis, così maleducatamente sono:"
"Ché quelle, che si mostran più humane,",for those who show themselves to be more charitable,per coloro che si mostrano più caritatevoli
"E non prendenti, dànno le ghigniate.",and not greedy make fun of you.,e non avido prenderti in giro.
"Natur’è quella che•lle v’à fatate,",Nature is the one who has taught them,La natura è colui che ha insegnato loro
Sì com’ell’à ’fetato a chaccia il cane.,just as she has taught the dog to hunt.,Proprio come ha insegnato al cane a cacciare.
"Ver è c’alcuna si mette a donare,","It’s true that some are disposed to give,","È vero che alcuni sono disposti a dare,"
"Ma ella s’è ben prima proveduta,",but only if they’ve first made sure,ma solo se prima si sono assicurati
Ch’ella ’l darà in luogo d’adoppiare.,that what they give will come back twofold.,che ciò che daranno tornerà duplice.
"I•llor gioelli non son di gran valuta,","Their jewels are not of great value,","I loro gioielli non sono di grande valore,"
Ma e’ son esca per uccie’ pigliare.,but they’re the bait to snare the pigeons.,ma essi riattaccano l'esca per intrappolare i piccioni.
Guardisi ben chi à corta veduta!,May the short-sighted ones beware!”,Possano i miopi stare attenti!
