Original,Translate_EN,Translate_IT_1
"Gelosia fecie fondar un castello,",Jealousy had a castle built,Gelosia aveva costruito un castello
"Con gran fossi d’intorno e barbacani,","with large moats and fortifications all around,","con grandi fossati e fortificazioni tutt'intorno,"
"Ché molto ridottava huomini strani,","because she greatly feared outsiders,","perché temeva molto i forestieri,"
Sì faciev’ella que’ di su’ ostello;,just as much as she did those within her castle.,tanto quanto le ha fatte dentro il suo castello.
"E nel miluogo un cassero fort’ e bello,",And in the middle she had the greatest craftsmen,E nel mezzo aveva i più grandi artigiani
"Che non dottava asalto di villani,",construct an impressive tower,costruire una torre impressionante
Fecie murare a’ mastri più sovrani,"with finely chiseled marble,","con marmo finemente scalpellito,"
Di marmo lavorato ad ischarpello;,which feared no assault from uncouth men.,che non temevano alcun assalto da parte di uomini corrotti.
"E sì vi fecie far quatro portali,",She then had four portals made,Poi ha fatto fare quattro portali.
"Con gran tori di sopra inberteschate,",that were surmounted with lofty crenelated towers:,che sono stati sormontati da alte torri cremate:
Ch’unque nel mondo non fur fatte tali;,never had the world seen anything like them.,Il mondo non aveva mai visto niente di simile a loro.
"E porte caditoie v’avea ordinate,",She ordered movable gates,Ha ordinato dei cancelli mobili.
Che venian per condotto di canali.,that opened and closed hydraulically;,che ha aperto e chiuso idraulicamente;
L’altr’eran tutte di ferro spranghate.,the other gates were all reinforced with iron.,le altre porte erano tutte rinforzate di ferro.
