Original,Translate_IT
"Mentre che sì per l'orlo, uno innanzi altro,",Per fare il suo corso attraverso l'acqua più liscia
"ce n'andavamo, e spesso il buon maestro","la piccola corteccia del mio spirito ora arrampica la sua vela,"
diceami: “Guarda: giovi ch'io ti scaltro”;,lasciando alle spalle quel mare crudele.
"feriami il sole in su l'omero destro,","Ora canterò il secondo regno,"
"che già, raggiando, tutto l'occidente","là dove l'anima dell'uomo è purificata,"
mutava in bianco aspetto di cilestro;,resa degna di ascendere al Cielo.
e io facea con l'ombra più rovente,"Qui dai morti la poesia si alzi,"
parer la fiamma; e pur a tanto indizio,"O Muse sacre, da quando sono vostra."
"vidi molt'ombre, andando, poner mente.",Lasciate che Calliope si alzi.
Questa fu la cagion che diede inizio,per accompagnare la mia canzone con quegli stessi accordi
loro a parlar di me; e cominciarsi,la cui forza colpì così le miserabili magpie
a dir: “Colui non par corpo fittizio”;,"che, ascoltando, hanno perso ogni speranza di perdono."
"poi verso me, quanto potëan farsi,","Colore dolce dello zaffiro orientale,"
"certi si fero, sempre con riguardo",aleggiando nell'aspetto calmo e tranquillo
di non uscir dove non fosser arsi.,"d'aria intervenente, pura all'orizzonte,"
"“O tu che vai, non per esser più tardo,",mi sono compiaciuto ancora una volta dei miei occhi
"ma forse reverente, a li altri dopo,",non appena ho lasciato l'aria morbosa
rispondi a me che 'n sete e 'n foco ardo.,che aveva afflitto sia il mio petto che gli occhi.
Né solo a me la tua risposta è uopo;,"Il pianeta giusto che incoraggia l'amore,"
ché tutti questi n'hanno maggior sete,"sorridente, illuminato a est,"
che d'acqua fredda Indo o Etïopo.,velando i pesci nel suo treno.
Dinne com'è che fai di te parete,"Mi voltai a destra e, fissando la mia attenzione"
"al sol, pur come tu non fossi ancora","sull'altro polo, ho visto quattro stelle"
di morte intrato dentro da la rete”.,"non visti, ma dai primi sulla terra."
Sì mi parlava un d'essi; e io mi fora,Il cielo stesso sembrava gioire
"già manifesto, s'io non fossi atteso",nel loro splendente luccichio. O vedova
ad altra novità ch'apparve allora;,"regione del nord, negata quella vista!"
ché per lo mezzo del cammino acceso,"Una volta che ho attirato il mio sguardo da loro,"
"venne gente col viso incontro a questa,",girare a malapena verso l'altro polo
la qual mi fece a rimirar sospeso.,"dove era posta la costellazione del fiume,"
Lì veggio d'ogne parte farsi presta,"Ho visto accanto a me un vecchio, da solo,"
ciascun'ombra e basciarsi una con una,che dal suo aspetto era così meritevole di rispetto
"sanza restar, contente a brieve festa;",che nessun figlio deve di più a suo padre.
così per entro loro schiera bruna,"La sua barba era lunga e striata di bianco,"
"s'ammusa l'una con l'altra formica,","come i suoi capelli, che cadde"
forse a spïar lor via e lor fortuna.,in doppi fili fino al petto.
"Tosto che parton l'accoglienza amica,",I raggi di quelle quattro stelle sante
"prima che 'l primo passo lì trascorra,",adornava il suo viso con tanta luce
sopragridar ciascuna s'affatica:,Sembrava splendere con la luminosità del sole.
la nova gente: “Soddoma e Gomorra”;,"Quali anime sei tu per essere fuggito dall'eterna prigione,"
"e l'altra: “Ne la vacca entra Pasife,",arrampicarsi contro il ruscello oscuro e nascosto?
perché 'l torello a sua lussuria corra”.,"chiese, scuotendo quelle venerate serrature."
"Poi, come grue ch'a le montagne Rife",'Chi era la tua guida o chi la tua lanterna
"volasser parte, e parte inver' l'arene,",per condurvi fuori da quella notte profonda
"queste del gel, quelle del sole schife,",quale ripida la valle dell'Inferno nelle tenebre?
"l'una gente sen va, l'altra sen vene;","Le leggi dell'abisso sono così infrante,"
"e tornan, lagrimando, a' primi canti","o è stato fatto un nuovo decreto in cielo,"
e al gridar che più lor si convene;,"che, dannazione, stai davanti alle mie scogliere?"""
"e raccostansi a me, come davanti,",Il mio capo mi ha poi contattato.
"essi medesmi che m'avean pregato,",e con le sue parole e segni e con le sue mani
attenti ad ascoltar ne' lor sembianti.,"mi ha fatto mostrare riverenza con il ginocchio e la fronte,"
"Io, che due volte avea visto lor grato,","Allora gli rispose: ""Non sono venuto da solo."
incominciai: “O anime sicure,Una donna discesa dal Cielo e su sua richiesta
"d'aver, quando che sia, di pace stato,",Ho prestato a quest'uomo compagnia e aiuto.
non son rimase acerbe né mature,Ma siccome è la tua volontà che dico chiaramente
"le membra mie di là, ma son qui meco","la vera condizione della nostra presenza qui,"
col sangue suo e con le sue giunture.,Non puo' essere che io neghi il tuo desiderio.
Quinci sù vo per non esser più cieco;,"Quest'uomo non ha ancora visto il suo ultimo tramonto,"
"donna è di sopra che m'acquista grazia,",ma attraverso la sua follia era così vicino ad esso
per che 'l mortal per vostro mondo reco.,Il suo tempo era quasi finito.
Ma se la vostra maggior voglia sazia,"- Gli fui mandato, come ho detto,"
"tosto divegna, sì che 'l ciel v'alberghi",per la sua liberazione.
"ch'è pien d'amore e più ampio si spazia,",Ma questo poteva essere salvato.
"ditemi, acciò ch'ancor carte ne verghi,",Gli ho mostrato tutta la razza colpevole.
"chi siete voi, e chi è quella turba",e ora intende fargli vedere quegli spiriti
che se ne va di retro a' vostri terghi”.,che si purificano sotto la tua responsabilità.
Non altrimenti stupido si turba,Come l'ho condotto ci metterei molto a dirlo.
"lo montanaro, e rimirando ammuta,",Scendendo dall'alto un potere mi aiuta
"quando rozzo e salvatico s'inurba,","per portarlo qui, perché possa vederti e sentirti."
che ciascun'ombra fece in sua paruta;,"Che possiate dare il benvenuto al suo arrivo,"
"ma poi che furon di stupore scarche,","dal momento che è in cerca di libertà, che è così caro,"
"lo qual ne li alti cuor tosto s'attuta,",come ben sa chi dona la sua vita per essa.
"“Beato te, che de le nostre marche”,","Lo sai bene, dalla morte a Utica."
"ricominciò colei che pria m'inchiese,","non sembrava amaro, là dove te ne sei andato"
"“per morir meglio, esperïenza imbarche!",l'abito che splenderà in quel grande giorno.
"La gente che non vien con noi, offese","'Non da noi sono gli eterni editti rotti,"
"di ciò per che già Cesar, trïunfando,","perché quest'uomo vive e Minos non mi lega,"
"""Regina"" contra sé chiamar s'intese:",ma io sono del cerchio dove la tua Marcia
"però si parton ""Soddoma"" gridando,","'Implora con i suoi occhi casti, o santo seno,"
"rimproverando a sé com'hai udito,",che pensi ancora a lei come a te.
