Original,Translate_EN,Translate_IT_1
"S’i’ fosse stata, per l’anima mia,","“If I had been, for my sake,","Se fossi stato, per il mio bene,"
"Ben savia in giovaneza, e conosiente,","very wise and intelligent in my youth,","molto saggio e intelligente nella mia giovinezza,"
"Ch’i’ era allor sì bella, e sì piaciente,",when I was still so beautiful and pleasing,quando ero ancora così bella e piacevole
"Che ’n ognie parte novelle ne gia,","that news of me went everywhere,","quella notizia di me è andata dappertutto,"
"I’ sarè’ troppo richa, in fede mia;","I would be very rich, believe me;","Sarei molto ricco, credimi."
"Ma i’ sì ’l dava tucto a quel dolente,","but I gave everything to that wretch,","ma ho dato tutto a quel disgraziato,"
"C’a ben far   non fu anche conosciente,","who was not smart enough to do wise things,","che non era abbastanza intelligente da fare cose sagge,"
Ma tutto dispendea in ribalderia.,and he spent it all in debauchery.,e li ha spesi tutti in dissolutezza.
Né no•gli piaque nulla risparmiare,"He didn’t like to save anything,","Non gli piaceva salvare nulla,"
"Ch’e’ tutto no ’l bevesse, e no ’l giucasse,","but drank and gambled it all away,","ma bevve e scommetteva tutto,"
Tant’era tenperato a pur mal fare!,so singularly predisposed was he to vice;,così singolarmente predisposto era a viziare;
"Sì c’a la fin convene ch’i’ lasciasse,","so in the end I had to leave him,","così alla fine dovetti lasciarlo,"
"Quand’i’ non ebi più, che gli donare:",when I no longer had anything to give him;,quando non avevo più nulla da dargli;
E’ me e sé di gran richeza trasse».,he took wealth away from me and from himself.”,ha portato via la ricchezza da me e da se stesso.
