Original,Translate_EN,Translate_IT_1
E ora i’ v’ò detto: in cuore humile e piano,"“As I’ve told you, in the humble and modest heart","Come vi ho detto, nel cuore umile e modesto"
"Santa religione grana e fioriscie,",holy religion prospers and flourishes;,la religione santa prospera e fiorisce;
"Religioso   non si inorgogliscie,","a truly religious man is not proud,","un uomo veramente religioso non è orgoglioso,"
Tuttora il truova l’uon dolcie e humano.,but always kind and mild.,ma sempre gentile e mite.
"A cotal giente i’ sì do tosto mano,","To people such as these I yield,","A persone come queste mi arrendo,"
"Ché vita di nessun non m’abeliscie,",for the only kind of life I like,per l'unico tipo di vita che mi piace
"S’e’ non inganna, e baratta, e tradiscie.",is that of one who deceives and cheats and betrays;,"è quello di chi inganna, inganna e tradisce;"
"Ma ’l più, ch’i’ posso, di lor sì mi strano,","and so I stay as far away from them as I can,","e così starò il più lontano possibile da loro,"
"Ché con tal giente star ben non potrei,",for I could not associate with that kind of people;,perché non potevo associarmi a quel tipo di persone;
"C’a voi, gientil Signior, ben dire l’oso,","I can tell you, noble Lord,","Posso dirtelo, nobile Signore,"
"Che, s’i’ vi stese, i’ sì m’infignirei.","that if I were with them, I would surely have to pretend.","che se fossi stato con loro, avrei sicuramente dovuto fingere."
"E però il mi’ volere i’ sì vi chioso,","Therefore, I gloss for you my desire:","Per questo, io trascuro per voi il mio desiderio:"
"Che pender prima i’ sì mi lascierei,",I would rather let myself be hanged,Preferirei lasciarmi impiccare.
Ched i’ uscisse fuor di mi’ proposo.,before I would stray from my purpose.”,prima che mi allontanassi dal mio scopo.
