Original,Translate_EN,Translate_IT_1
"Quand’i’ udì’ Ragion, che ’l su’ consiglio",When I heard the good and fine advice,Quando ho sentito i buoni e buoni consigli
"Mi dava buon, e fin, sanza fallacie,","of Reason who said, without deception, that she would","di ragione che ha detto, senza inganno, che avrebbe"
Diciendo di trovarmi acordo e pacie,reestablish me in peace and concord,ristabilire in pace e concordia
"Con quella, che m’avea messo ’n asiglio,","with that one who had put me in torment,","con colui che mi aveva tormentato,"
"I’ le dissi: «Ragion, veco ch’i’ piglio!","I said to her: “Reason, of course I will comply!","Le dissi: ""Per quale ragione, naturalmente mi adeguerò!"""
Ma non ch’i’ lassci il mi’ signior veracie,Provided that I do not have to leave my true lord;,Purche' io non debba lasciare il mio vero signore.
"Chéd i’ son su’ fedel, e’ sì mi piacie","for I am his faithful servant, and he gives me such pleasure","perché io sono il suo servo fedele, ed egli mi dà tale piacere"
Tanto ch’i’ l’amo più che padre figlio.,that I love him more than a son loves his father.,che lo amo più di un figlio ama suo padre.
Onde di ciò pensar non è mestero,For this reason it is unthinkable,Per questo motivo è impensabile
"Né tra no’ due tenerne parlamento,","and unnecessary for us to talk about it,","e inutile per noi parlarne,"
"Ch’e’ non sarebe fatto di legiero,","for this would not be easily done,","perché questo non sarebbe facile,"
Perciò ch’i’ falseria mi’ saramento.,since I would be violating my pledge.,Visto che violerei la mia promessa.
"Megl’i’ amo di Fortuna eser guerero,",I prefer to be an enemy of Fortune,Preferisco essere un nemico della Fortuna.
Ched i’ a•cciò avesse pensamento».,than to worry about this.”,che preoccuparsi di questo.
