Original,Translate_EN,Translate_IT_1
"I’ sì so ben per cuor ognie linguagio,",“I know every language by heart;,Conosco ogni lingua a memoria;
"Le vite d’esto mondo i’ ò provate,",I have experienced the various ways of this world:,Ho sperimentato i vari modi di questo mondo:
"Ch’un’or divento prete, un’altra frate,","on one occasion I become a priest, on another a friar,","in un'occasione divento prete, su un altro frate,"
"Or prinze, or cavaliere,   or fante, or pagio,","now a prince, now a knight, now a servant, now a page,","ora un principe, ora un cavaliere, ora un servo, ora una pagina,"
Secondo ched i’ vegio mi’ vantagio;,according to where I see my advantage.,in base a dove vedo il mio vantaggio.
"Un’altr’or son prelato, un’altra abate,","Another time I’m a prelate, and then an abbot;","Un'altra volta ho un prelato, e poi un abate;"
"Molto mi piaccion giente regolate,","I really like those in religious orders,","Mi piacciono molto quelli degli ordini religiosi,"
Ché co•llor cuopr’i’ meglio il mi’ volpagio;,because with them I can better hide my fox-like nature.,Perche' con loro posso meglio nascondere la mia natura da volpe.
"Ancor mi fo romito, e pellegrino,","In addition I become a hermit and pilgrim,","Inoltre divento eremita e pellegrino,"
"Cherico, e avocato e gustiziere,","clerk and lawyer and judge,","cancelliere, avvocato e giudice,"
"E monaco, e calonaco, e bighino;",monk and parish priest and beguine.,monaco e parroco e beghine.
"E castellan mi fo, e forestiere,","I become keeper of the castle and forester,","Divento guardiano del castello e della foresta,"
"E giovane alcun’ora, e vechio chino:",and sometimes a youth and an old man hunched over:,e a volte un giovane e un vecchio si incuriosivano:
"A brieve motti, i’ son d’ogni’ mestiere.","in short, I am a jack of all trades.”","in breve, io sono un jack di tutti i commerci."
