Original,Translate_EN,Translate_IT_1
"E’ sì vanno lodando la povèrta,","“And so they go about praising poverty,","E così vanno a lodare la povertà,"
"E le richeze pescan co’ tramagli,","and they fish for riches with special nets,","e pescano per ricchezze con reti speciali,"
"Ed ivi mettor tutti lor travagli,","and there they put all their labor,","e vi mettevano tutte le loro fatiche,"
Tutto si cuoprar e’ d’altra coverta.,although they cover themselves with a different cloak.,Anche se si coprono con un mantello diverso.
Di lor non puo’ tu trare cosa cierta:,From them you can not expect anything certain:,Da loro non puoi aspettarti nulla di certo:
"Se•ttu lor presti me’ val a chitarli,","if you lend them money, it’s better just to write it off;","se presti loro denaro, è meglio che lo scriva;"
"Che, se•ttu metti pena in raquistarli,","for if you struggle to get your money back,","perché se fate fatica a riavere indietro i vostri soldi,"
Ciascun di lor si ferma in darti perta.,they are all intent on giving you a loss.,sono tutti intenti a darti una perdita.
E ciascun dicie ch’è religioso,"And each one says he’s religious,","E ognuno dice che è religioso,"
"Perché vesta di sopra grossa lana,","because he dresses in rough wool cloth,","perché si veste di lana ruvida,"
E ’l morbido bianchetto tien nascoso;,and keeps the soft white cloth hidden underneath.,e mantiene il panno bianco morbido nascosto sotto.
"Ma già religione ivi non grana,","To be sure, religion does not prosper there,","Per essere sicuri, la religione non prospera lì,"
"Ma grana   nel cuor humile e piatoso,",but it prospers in the humble and pious heart,ma prospera nel cuore umile e pio
"Che, ’n trar sua vita, mette pena e ana.",that assumes pain and anguish as it goes through life.”,che assume dolore e angoscia come passa attraverso la vita.
