Original,Translate_EN,Translate_IT_1
"Per tutto ’l mondo i’ era ricordata,","“As I told you, I was celebrated","Come vi ho detto, sono stato festeggiato"
"Com’io t’ò detto, de la mia  bieltate,","throughout the world for my beauty,","in tutto il mondo per la mia bellezza,"
E molte zuffe ne fur cominciate,"and many fights were begun because of this,","e molte lotte iniziarono a causa di questo,"
E molte gienti alcun’ora piagata;,and many people were often wounded.,e molte persone sono state spesso ferite.
"Ché que’, che mi crede’ aver più legata,",To the one who thought he had me all to himself,A colui che pensava di avermi tutta per se'.
Assa’ mostrav’i’ più di duritate:,I showed more harshness;,Ho mostrato più durezza;
"Le mie promesse gli venian fallate,","my promises to him were not kept,","le mie promesse a lui non sono state mantenute,"
C’altre persone m’avieno inarrata.,because other men had engaged me with their pledges.,perché altri uomini mi avevano fidanzato con le loro promesse.
Per molte volte m’era l’uscio rotto,Many times my door was broken down,Molte volte la mia porta era rotta
"E tentennato, quand’io mi dormia;","and battered, when I was sleeping;",mentre dormivo;
"Ma già per ciò io non faciea lor motto,","but despite this I said nothing to them,","ma nonostante questo non ho detto loro nulla,"
"Perciò ched i’ avea altra conpagnia,",since I had the company of another man;,da quando ho avuto la compagnia di un altro uomo;
"A chui intender faciea, che ’l su’ disd[o]tto",I made him believe that his sexual pleasure,Gli ho fatto credere che il suo piacere sessuale
"Mi piaciea più che null’altro, ch’e’•ssia.",pleased me more than any other thing in the world.”,mi ha soddisfatto più di qualsiasi altra cosa nel mondo.
