Original,Translate_EN,Translate_IT_1
"Color, con cu’ i’ sto, sì ànno il mondo",“Those with whom I pass my time have so firmly,Quelli con cui passo il mio tempo hanno così saldamente
"Sotto da lor sì forte aviluppato,",ensnared the world beneath their feet,innamorato il mondo sotto i loro piedi
"Ched e’ nonn-è nesun sì gran prelato,",that there is no great prelate,che non c'è un gran prelato
C’a lor possanza truovi riva o fondo.,who can set limits to their power.,che possono porre limiti al loro potere.
"Con mio baratto ciaschedun afondo,","With my trickery I sink each one of them,","Con il mio inganno affondo ognuno di loro,"
"Che, sed e’ vien alcun gran litterato,",and if an important man of letters comes along,e se arriva un uomo importante di lettere
"Che voglia discovrir il mi’ peccato,","who wants to show my sin for what it is,","che vuole mostrare il mio peccato per quello che è,"
"Co•la forza, ch’i’ ò, i’ sì ’l confondo.",I can confound him with the powers I have.,Posso confonderlo con i poteri che ho.
Mastro Sighier non andò guari lieto:,Master Siger did not meet a happy end:,Maestro Siger non ha incontrato un lieto fine:
"A ghiado i’ ’l fe’ morire a gran dolore,",with a sword I made him die with great pain,con una spada l'ho fatto morire con grande dolore
"Nella corte di Roma, ad Orbivieto.","in the court of Rome, at Orvieto.","nella corte di Roma, a Orvieto."
"Mastro Guillelmo, il buon di Sant’Amore,","As for Master William, the good man of Saint-Amour,","Quanto al Maestro Guglielmo, il buon uomo di Saint-Amour,"
"Fec’i’ di Francia metter in divieto,",I had the prohibition placed on him in France,Avevo messo il divieto su di lui in Francia
E ’sbandir del reame a gran romore.,and had him exiled from the realm with great outcry.”,e lo fece esiliare dal regno con grandi grida.
