Original,Translate_EN,Translate_IT_1
"Al ben guardar fallì’, lassa dolente,","“I failed to set wealth aside, oh wretched, sorry me,","Non sono riuscito a mettere da parte la ricchezza, o miserabile, mi dispiace,"
"Ché•cciò, c’all’un togliea,   a l’altro donava:","for what I took from one, I gave to another;","per quello che ho preso da uno, l'ho dato a un altro;"
"Come ’l danaio venia, così n’andava,","as money came in, so it went out;","come il denaro è entrato, così è uscito;"
Non faciea   forza d’aver rimanente.,I made no effort to save any of it.,Non ho fatto alcun sforzo per salvarlo.
"I’ era di ciascun molto prendente,","I was used to taking gifts from every man,","Ero abituato a prendere regali da ogni uomo,"
"E tutto quanto a un ribaldo i’ ’l dava,","and all of these I gave to a scoundrel,","e tutti questi li ho dati ad un mascalzone,"
"Che “Puttana comune” mi chiamava,",who called me a common whore,che mi chiamava una puttana comune
E mi battea   la schiena ben sovente.,and would frequently beat me.,e spesso mi picchiava.
"Quest’iera que’, che più mi piaciea,","He was the one I loved the most,",Era quello che amavo di piu'.
"E gli altri “Amici dolci” i’ apellava,","and I would call the others ‘sweet friends,’","e chiamerei gli altri amici dolci,"
"Ma solamente   a costui ben volea,","but he was the only one I loved,","ma era l'unico che amavo,"
Che mol[to] tosto s’apacificava,and he would quickly make up,e si sarebbe inventato in fretta
"Comeco, sì battuta no•m’avea,","with me, although he’d beaten me up,","con me, anche se mi ha picchiato,"
Ché troppo dolze mente   mi schufiava.,for he screwed me most sweetly.”,perché mi ha scopato più dolcemente.
