Original,Translate_IT
Al fine de le sue parole il ladro,"Poi, facendo i fichi con entrambi i pollici,"
"le mani alzò con amendue le fiche,",il ladro alzò i pugni e gridò:
"gridando: “Togli, Dio, ch'a te le squadro!”.","'Prendete questo, Dio! E 'destinato a voi!'"
"Da indi in qua mi fuor le serpi amiche,","Da quel momento i serpenti erano miei amici,"
"perch'una li s'avvolse allora al collo,",per uno di loro si è arrotolato intorno al suo collo
come dicesse 'Non vo' che più diche';,"come se dicessi: ""Ora non parlerai più."""
"e un'altra a le braccia, e rilegollo,","mentre un altro gli inceppava le braccia e lo teneva fermo,"
"ribadendo sé stessa sì dinanzi,",annodandosi così stretto intorno al suo davanti
che non potea con esse dare un crollo.,non riusciva nemmeno a sminuzzare le braccia.
"Ahi Pistoia, Pistoia, ché non stanzi","Ah, Pistoia, Pistoia, perché non vuoi risolvere"
"d'incenerarti sì che più non duri,","per bruciare se stessi in cenere, cessare di essere,"
poi che 'n mal fare il seme tuo avanzi?,da quando hai superato i tuoi antenati nel male?
Per tutt'i cerchi de lo 'nferno scuri,Attraverso tutti gli oscuri giri dell'Inferno
"non vidi spirto in Dio tanto superbo,","Non ho visto nessuno così orgoglioso contro Dio,"
non quel che cadde a Tebe giù da' muri.,Nemmeno colui che si è rovesciato dalle mura di Tebe.
El si fuggì che non parlò più verbo;,E' scappato senza un'altra parola.
e io vidi un centauro pien di rabbia,E poi ho visto un centauro pieno di rabbia
"venir chiamando: “Ov'è, ov'è l'acerbo?”.","Venite a gridare: ""Dove, dov'è quell'anima immatura?"""
"Maremma non cred'io che tante n'abbia,","La Maremma non ha tanti serpenti,"
quante bisce elli avea su per la groppa,"Penso che, come aveva sulla schiena,"
infin ove comincia nostra labbia.,da dove la parte umana comincia giù al rump.
"Sovra le spalle, dietro da la coppa,","Sulle spalle, proprio sulla nuca del collo,"
con l'ali aperte li giacea un draco;,accovacciato un drago con le sue ali spalancate
e quello affuoca qualunque s'intoppa.,che incendia qualunque cosa incontri.
"Lo mio maestro disse: “Questi è Caco,","Il mio padrone disse: ""Questa è Cacus,"
"che, sotto 'l sasso di monte Aventino,",che nella grotta sotto l'Aventino
di sangue fece spesse volte laco.,Molte volte ha fatto un lago di sangue.
"Non va co' suoi fratei per un cammino,",'La sua strada è diversa dai suoi fratelli'
per lo furto che frodolente fece,"perché ha rubato, con astuzia malvagia,"
del grande armento ch'elli ebbe a vicino;,la mandria di bestiame che trovò a portata di mano.
onde cessar le sue opere biece,Perche' le sue astute vie erano finite.
"sotto la mazza d'Ercule, che forse","sotto il club di Ercole, che ha colpito forse"
"gliene diè cento, e non sentì le diece”.","cento colpi, anche se non sentiva il decimo."""
"Mentre che sì parlava, ed el trascorse,",Mentre il mio padrone parlava il centauro era passato.
"e tre spiriti venner sotto noi,","Sotto dove eravamo in piedi, tre nuove anime"
"de' quai né io né 'l duca mio s'accorse,","era vicino, anche se non li abbiamo visti"
se non quando gridar: “Chi siete voi?”;,"finché non abbiamo udito le loro grida: ""Tu,"
"per che nostra novella si ristette,",Chi sei tu?' A quel che ha fermato la sua storia
e intendemmo pur ad essi poi.,e li abbiamo ascoltati da soli.
"Io non li conoscea; ma ei seguette,","Non conoscevo nessuno di loro, eppure e' successo..."
"come suol seguitar per alcun caso,",come spesso accade per caso...
"che l'un nomar un altro convenette,","che uno aveva motivo di pronunciare il nome di un altro,"
dicendo: “Cianfa dove fia rimaso?”;,chiedendo: 'Che ne è stato di Cianfa?'
"per ch'io, acciò che 'l duca stesse attento,","E poi, per catturare l'attenzione della mia guida,"
mi puosi 'l dito su dal mento al naso.,Ho alzato il dito dal mento al naso.
"Se tu se' or, lettore, a creder lento","Se, lettore, si è lento a credito"
"ciò ch'io dirò, non sarà maraviglia,","Quello che sto per dirti, non c'e' da stupirsi."
"ché io che 'l vidi, a pena il mi consento.","L'ho visto, e io stesso riesco a non crederci."
"Com'io tenea levate in lor le ciglia,","Mentre stavo a fissare, con sopracciglia rialzate,"
e un serpente con sei piè si lancia,un rettile a sei zampe azionato da solo
"dinanzi a l'uno, e tutto a lui s'appiglia.","ad uno di loro, e si è fissato a lui."
Co' piè di mezzo li avvinse la pancia,"Gli ha afferrato la pancia con i suoi artigli medi,"
e con li anterïor le braccia prese;,poi con i suoi avambracci teneva le braccia
poi li addentò e l'una e l'altra guancia;,e l'ha morso su entrambe le guance.
"li diretani a le cosce distese,","Tendeva i suoi piedi posteriori lungo le cosce dell'altro,"
e miseli la coda tra 'mbedue,spingendo la coda tra di loro
