Original,Translate_EN,Translate_IT_1
"S’a l’altra parte elle son franche nate,","“On the other hand, women are born free:","D'altra parte, le donne nascono libere:"
"La Legie sì•lle trâ di lor francheza,","the law takes away from them their free state,","la legge toglie loro il loro libero stato,"
Dove Natura per sua nobileza,where Nature through her generosity,dove la natura attraverso la sua generosità
"Le mise, quando prima fur criate.",put them as soon as they were created.,metteteli non appena sono stati creati.
"Or l’à la Legie sì condizionate,",Now the law has so bound them,Ora la legge li ha così legati
"Ed àlle messe a sì gran distreza,",and put them in such distress,e metterli in una tale angoscia
"Che ciascheduna volontier s’adreza,",that they all willingly strive,che tutti si sforzano volentieri
Come tornar potesse a franchitate.,to return to this state of freedom.,per tornare a questo stato di libertà.
Vedi l’ucciel del bosco quand’è ’n gabia:,"You see how the wild bird, when it’s in a cage,","Vedete come l'uccello selvatico, quando si rinchiude in una gabbia,"
"E’ chanterà di cuor, ciò vi fi’ aviso,",will sing with all its heart – this will be clear to you –,canterà con tutto il suo cuore questo sarà chiaro a voi
"Ma no gli piacie vivanda, ch’egli abia;",­but it does not like the food it has;,ma non gli piace il cibo che ha;
Ché Natur’ a francheza   l’à sì miso,for Nature has instilled such freedom in it,per la natura ha instillato tale libertà in esso
"Che giorno e notte de l’uscirne arrabia,","that day and night it seeks feverishly to escape,","quel giorno e quella notte cerca febbrilmente di fuggire,"
"Nonn-avrà tanto miglio, o grano, o riso.",although it has enough millet or wheat or rice.”,anche se ha abbastanza miglio o frumento o riso.
