Original,Translate_EN,Translate_IT_1
Udendo che Ragion mi gastigava,Hearing that Reason was scolding me,Sentire che la ragione mi stava rimproverando
"Perch’i’ al Die d’Amor era ’nservito,","for my enslavement to the God of Love,","per la mia schiavitù al Dio dell'Amore,"
"Di ched i’ era forte inpalidito,","for which I had become so pale,","per cui ero diventato così pallido,"
"E sol perch’io a•llui troppo pensava,","and only because of my thinking of him too much,","e solo perche' ho pensato troppo a lui,"
"I’ le dissi: «Ragion, e’ no•mi grava","I said to her: “Reason, the pain he inflicts does not weigh","Le dissi: ""Motivo, il dolore che infligge non pesa."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","on me, because I will soon be healed,","su di me, perché presto guarirò,"
Ché questo mio signior lo m’à gradito».,for this master of mine has promised it to me”,perché questo mio signore me l'ha promesso
"E ch’era folle se più ne parlava,",- and that Reason was crazy if she continued to discuss it.,- e quella ragione era folle se continuava a parlarne.
"«Chéd i’ son fermo pur di far su’ grado,","“For I am set only on pleasing him,","Perche' io sono disposto solo a compiacerlo,"
Perciò ch’e’ mi promise fermamente,since he gave me firm promises,da quando mi ha dato promesse solide
"Ched e’ mi metterebe in alto grado,","that he would put me in a high place,","che mi avrebbe messo in un posto alto,"
Sed i’ ’l servisse bene e lealmente».,if I would serve him well and faithfully.”,se lo servissi bene e fedelmente.
"Perché di lei i’ non pregiava  un dado,","Therefore, I did not care about her at all,","Quindi, non mi importava affatto di lei,"
Né su’ consiglio i’ non teneva a mente.,nor did I remember or follow her advice.,né mi sono ricordato né ho seguito il suo consiglio.
